pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y
866.512250,359.791770,690.141017,385.705087,493.530463,414.727072,299.811240,460.988379
867.010000,360.000000,689.960000,386.000000,493.970000,414.990000,300.000000,461.040000
867.020000,359.990000,689.920000,386.000000,493.840000,414.970000,299.870000,460.920000
867.020000,360.020000,689.840000,386.020000,493.850000,415.010000,299.930000,460.980000
867.020000,360.020000,689.840000,386.020000,493.860000,415.010000,299.890000,461.040000
867.010000,360.010000,689.810000,386.070000,493.860000,414.880000,299.870000,461.100000
867.040000,360.010000,689.890000,386.060000,493.810000,414.950000,299.920000,461.190000
867.040000,360.020000,689.880000,386.080000,493.690000,415.000000,299.890000,461.230000
867.030000,360.020000,689.810000,386.060000,493.650000,415.040000,299.850000,461.210000
867.020000,360.030000,689.760000,386.070000,493.570000,415.140000,299.850000,461.160000
867.010000,360.030000,689.790000,386.090000,493.570000,415.140000,299.840000,461.300000
867.000000,360.020000,689.730000,386.090000,493.400000,415.180000,299.800000,461.130000
866.980000,360.040000,689.760000,386.140000,492.960000,415.400000,299.870000,461.240000
867.030000,360.060000,689.760000,386.240000,492.940000,416.070000,299.860000,461.480000
866.980000,360.060000,689.680000,386.230000,492.940000,416.660000,299.870000,462.230000
866.980000,360.100000,689.640000,386.260000,492.930000,416.740000,299.870000,462.730000
866.990000,360.080000,689.640000,386.290000,492.910000,416.730000,299.840000,462.610000
867.010000,360.090000,689.580000,386.320000,492.910000,416.810000,299.830000,462.640000
866.960000,360.070000,689.450000,386.260000,492.830000,416.700000,299.760000,462.750000
866.920000,360.070000,688.870000,386.240000,492.720000,416.650000,299.720000,462.550000
866.870000,360.050000,688.200000,386.190000,492.520000,416.300000,299.380000,461.930000
866.980000,360.060000,688.140000,386.160000,492.050000,415.690000,298.480000,461.190000
866.900000,360.050000,688.100000,386.180000,491.970000,415.220000,297.910000,460.850000
866.950000,360.050000,688.100000,386.190000,491.960000,415.270000,297.070000,460.910000
867.000000,360.050000,688.080000,386.190000,491.720000,415.170000,296.300000,461.220000
866.970000,360.060000,688.110000,386.150000,491.730000,415.390000,296.230000,461.250000
866.920000,360.060000,688.120000,386.110000,491.620000,415.870000,296.240000,461.370000
866.930000,360.050000,688.150000,386.160000,491.820000,415.820000,296.180000,461.350000
866.890000,360.050000,688.140000,386.170000,491.820000,415.820000,296.110000,461.420000
866.970000,360.030000,688.170000,386.120000,491.770000,415.840000,296.130000,461.380000
867.030000,360.000000,688.150000,386.120000,491.850000,415.920000,296.120000,461.400000
867.030000,360.010000,688.100000,386.190000,491.790000,415.940000,296.080000,461.690000
867.020000,360.020000,688.060000,386.170000,491.770000,416.080000,296.090000,462.380000
866.980000,360.040000,688.100000,386.250000,491.620000,416.100000,296.120000,463.020000
866.980000,360.040000,688.100000,386.250000,491.160000,416.100000,296.070000,463.390000
866.940000,360.060000,688.130000,386.430000,490.970000,416.150000,296.020000,463.820000
866.970000,360.080000,688.060000,387.010000,491.020000,416.090000,296.220000,463.790000
866.970000,360.070000,687.970000,387.020000,490.920000,416.080000,296.170000,463.760000
866.960000,360.100000,688.000000,387.000000,490.980000,416.250000,296.230000,463.830000
866.940000,360.120000,688.020000,387.040000,490.860000,416.290000,296.170000,463.840000
866.880000,360.180000,688.010000,387.060000,490.790000,416.540000,296.170000,463.860000
866.840000,360.130000,687.990000,387.100000,490.970000,417.110000,296.150000,463.820000
866.830000,360.150000,687.990000,387.080000,491.100000,417.440000,296.070000,463.820000
866.820000,360.160000,688.000000,387.060000,491.070000,417.460000,296.100000,463.560000
866.820000,360.160000,687.930000,387.030000,491.030000,417.510000,296.080000,463.130000
866.770000,360.170000,687.920000,386.980000,491.110000,417.220000,296.070000,463.100000
866.780000,360.180000,687.950000,386.990000,491.020000,416.890000,296.010000,462.970000
866.750000,360.180000,687.960000,386.990000,490.990000,416.770000,296.100000,462.890000
866.860000,360.000000,688.090000,386.760000,491.090000,416.240000,296.020000,462.700000
866.860000,360.000000,688.090000,386.760000,491.060000,415.880000,296.020000,462.660000
866.900000,359.830000,688.160000,386.520000,491.270000,415.380000,296.000000,462.440000
866.940000,359.600000,688.230000,385.850000,491.210000,414.930000,296.070000,461.590000
866.930000,359.120000,688.290000,385.050000,491.470000,414.110000,296.200000,460.730000
867.060000,358.690000,688.710000,384.090000,492.200000,413.110000,296.340000,459.880000
867.210000,357.990000,689.210000,383.150000,492.780000,412.020000,297.590000,458.780000
867.400000,357.330000,689.950000,382.410000,493.200000,411.100000,299.050000,457.880000
868.060000,356.940000,690.690000,382.150000,493.980000,410.220000,300.060000,456.750000
868.500000,356.740000,690.980000,382.010000,494.590000,409.790000,300.950000,456.340000
868.550000,356.640000,691.240000,381.900000,494.910000,409.380000,301.990000,456.140000
868.630000,356.800000,692.000000,381.870000,495.470000,409.290000,302.940000,456.030000
868.660000,356.750000,692.810000,381.940000,496.230000,409.200000,303.920000,455.880000
868.800000,356.770000,693.590000,382.040000,496.990000,409.380000,304.920000,455.920000
868.810000,356.800000,693.550000,382.050000,497.880000,409.300000,305.790000,455.960000
868.850000,356.810000,693.840000,382.080000,498.690000,409.610000,306.760000,455.870000
868.850000,356.810000,693.850000,382.070000,498.980000,410.340000,307.580000,455.860000
868.900000,356.830000,694.040000,382.130000,499.070000,410.640000,307.940000,455.470000
868.970000,356.800000,694.180000,382.150000,499.420000,410.790000,307.980000,454.960000
869.000000,356.790000,694.330000,382.150000,500.190000,410.870000,307.990000,454.240000
869.010000,356.800000,694.590000,382.130000,500.950000,411.010000,308.140000,454.240000
869.050000,356.810000,695.030000,382.180000,501.290000,411.000000,308.250000,454.300000
869.030000,356.800000,695.160000,382.170000,501.440000,411.030000,308.270000,454.350000
869.020000,356.810000,695.200000,382.140000,501.620000,411.060000,308.400000,454.440000
869.090000,356.800000,695.280000,382.130000,501.870000,411.040000,309.280000,455.270000
869.080000,356.780000,695.260000,382.130000,501.900000,411.010000,310.110000,455.990000
869.120000,356.790000,695.360000,382.130000,502.030000,410.690000,311.020000,456.790000
869.160000,356.800000,695.420000,382.150000,502.090000,410.120000,311.890000,457.150000
869.150000,356.770000,695.540000,382.180000,502.060000,410.160000,312.480000,457.170000
869.140000,356.750000,695.960000,382.230000,502.080000,410.430000,312.550000,456.720000
869.190000,356.750000,696.160000,382.190000,502.350000,410.850000,312.810000,456.090000
869.190000,356.750000,696.160000,382.190000,502.730000,410.890000,312.810000,456.090000
869.240000,356.740000,696.350000,382.190000,502.930000,410.950000,312.880000,456.060000
869.240000,356.740000,696.770000,382.240000,503.040000,410.900000,312.960000,456.070000
869.260000,356.750000,696.790000,382.280000,503.200000,410.820000,312.970000,456.020000
869.280000,356.750000,696.790000,382.260000,503.030000,410.810000,313.000000,456.140000
869.330000,356.770000,696.920000,382.340000,503.070000,410.760000,312.900000,456.160000
869.280000,356.770000,696.860000,382.290000,503.050000,410.900000,312.920000,456.140000
869.360000,356.760000,696.860000,382.280000,503.050000,410.980000,312.870000,456.120000
869.400000,356.760000,696.860000,382.310000,503.070000,410.840000,312.930000,456.220000
869.260000,356.770000,696.850000,382.280000,503.130000,410.780000,312.880000,456.200000
869.360000,356.760000,696.920000,382.270000,503.210000,410.890000,312.920000,456.230000
869.410000,356.760000,696.910000,382.250000,503.340000,410.940000,313.030000,456.180000
869.410000,356.690000,696.960000,382.260000,503.270000,410.910000,313.120000,456.200000
869.430000,356.660000,697.030000,382.250000,503.540000,410.970000,313.080000,456.150000
869.450000,356.620000,697.130000,382.210000,504.020000,410.910000,313.130000,456.020000
869.450000,356.620000,697.130000,382.210000,504.020000,410.910000,313.130000,456.030000
869.430000,356.500000,697.240000,382.190000,503.940000,410.760000,313.090000,455.870000
869.370000,356.300000,697.180000,382.160000,503.950000,410.760000,313.100000,455.850000
869.400000,356.300000,697.250000,382.100000,504.000000,410.620000,313.170000,455.810000
869.390000,356.310000,697.250000,382.090000,503.920000,410.560000,313.190000,455.860000
869.430000,356.330000,697.190000,382.070000,503.920000,409.940000,313.210000,456.040000
869.420000,356.320000,697.230000,382.120000,503.920000,409.710000,313.290000,456.010000
869.420000,356.320000,697.260000,382.130000,503.880000,409.820000,313.400000,455.870000
869.430000,356.330000,697.260000,382.140000,503.900000,410.060000,314.120000,455.750000
869.450000,356.320000,697.290000,382.140000,503.950000,410.050000,314.850000,455.580000
869.400000,356.320000,697.300000,382.140000,504.030000,410.160000,315.690000,455.150000
869.400000,356.300000,697.320000,382.160000,504.090000,410.020000,316.090000,455.070000
869.440000,356.290000,697.440000,382.150000,504.110000,410.000000,316.190000,455.020000
869.520000,356.290000,697.860000,382.220000,504.080000,410.000000,315.640000,454.990000
869.900000,356.280000,697.880000,382.220000,504.070000,409.930000,314.800000,455.100000
869.900000,356.280000,697.880000,382.210000,504.070000,409.930000,314.070000,455.070000
869.870000,356.210000,697.810000,382.180000,504.110000,409.950000,313.260000,455.070000
869.900000,356.230000,697.840000,382.200000,504.060000,410.020000,312.300000,455.130000
869.910000,356.230000,697.850000,382.210000,504.100000,410.030000,314.426868,451.215421
869.980000,355.990000,697.970000,381.990000,503.940000,410.000000,314.020000,450.900000
869.970000,355.990000,697.970000,381.970000,503.910000,410.050000,313.980000,450.780000
869.980000,356.000000,698.060000,382.040000,504.050000,409.970000,313.960000,451.040000
869.980000,356.000000,697.980000,381.980000,504.060000,409.920000,313.880000,451.110000
870.000000,355.990000,698.030000,381.980000,504.050000,409.940000,313.920000,451.060000
870.020000,355.980000,698.060000,381.970000,503.980000,409.920000,314.000000,451.070000
870.000000,355.990000,698.070000,381.980000,503.930000,409.880000,314.040000,451.030000
870.080000,356.000000,698.080000,381.980000,503.980000,409.880000,314.070000,450.970000
870.010000,356.010000,698.050000,381.990000,503.950000,409.880000,313.970000,450.990000
869.970000,356.000000,698.030000,381.990000,503.880000,409.900000,314.060000,451.010000
869.990000,356.010000,697.980000,382.020000,504.020000,409.950000,313.990000,451.060000
869.990000,356.010000,697.980000,382.020000,504.020000,409.950000,313.990000,451.060000
870.000000,356.000000,697.960000,382.060000,504.100000,410.070000,313.820000,451.050000
870.000000,356.020000,698.030000,382.100000,504.080000,410.070000,313.910000,451.060000
870.010000,356.060000,698.030000,382.130000,504.100000,410.100000,314.060000,451.130000
870.000000,356.160000,698.010000,382.210000,504.110000,410.160000,313.830000,451.230000
870.000000,356.290000,697.990000,382.280000,504.200000,410.380000,313.940000,451.440000
869.970000,356.510000,697.930000,382.420000,504.160000,410.980000,313.930000,452.220000
869.940000,356.870000,697.930000,383.050000,504.120000,411.040000,313.920000,452.880000
869.940000,356.990000,697.840000,383.710000,504.060000,411.100000,313.660000,453.850000
869.930000,357.090000,697.700000,383.780000,503.930000,411.190000,312.870000,454.850000
869.940000,357.260000,697.530000,383.850000,503.820000,411.260000,312.110000,455.340000
870.010000,357.440000,697.010000,383.870000,503.790000,411.300000,311.570000,455.660000
869.870000,357.670000,696.710000,383.870000,503.360000,411.400000,311.260000,455.650000
869.910000,357.710000,696.070000,383.840000,502.720000,411.190000,311.140000,455.660000
869.830000,357.880000,695.750000,383.830000,501.990000,411.200000,310.870000,455.620000
869.790000,357.890000,695.800000,383.820000,501.420000,411.140000,310.780000,455.570000
869.780000,358.010000,695.930000,383.850000,500.930000,411.350000,310.290000,455.020000
869.680000,358.040000,695.780000,383.920000,500.240000,412.000000,309.760000,454.810000
869.570000,358.050000,695.660000,383.980000,500.140000,412.760000,309.020000,454.800000
869.130000,358.140000,695.400000,383.970000,500.020000,412.830000,308.390000,454.850000
869.080000,358.250000,694.880000,383.920000,499.980000,412.970000,308.280000,454.990000
869.000000,358.250000,694.420000,383.870000,499.830000,413.010000,308.160000,455.070000
869.000000,358.270000,694.290000,383.900000,499.640000,413.080000,307.900000,455.200000
868.950000,358.350000,694.170000,383.900000,498.960000,413.100000,307.570000,455.220000
868.940000,358.420000,694.030000,383.910000,498.330000,413.060000,306.840000,455.410000
868.900000,358.390000,693.860000,383.920000,498.270000,413.020000,306.140000,456.090000
868.860000,358.360000,693.790000,383.930000,498.160000,413.080000,305.570000,456.900000
868.820000,358.420000,693.740000,383.970000,498.070000,413.200000,305.410000,457.610000
868.860000,358.460000,693.690000,384.010000,498.030000,413.240000,305.320000,457.750000
868.800000,358.820000,693.440000,384.060000,497.640000,413.560000,304.980000,457.880000
868.800000,358.820000,692.990000,384.020000,497.270000,414.080000,305.090000,457.860000
868.700000,358.950000,692.830000,384.150000,497.200000,414.700000,304.820000,457.860000
868.670000,358.930000,692.770000,384.180000,496.990000,414.760000,304.790000,458.020000
868.680000,358.920000,692.740000,384.220000,497.050000,414.860000,304.560000,458.110000
868.540000,358.950000,692.660000,384.230000,496.870000,414.770000,303.890000,458.110000
868.070000,358.930000,692.470000,384.280000,496.850000,414.760000,303.390000,458.010000
868.100000,358.960000,692.050000,384.160000,496.820000,414.850000,302.900000,458.130000
868.070000,358.930000,691.900000,384.180000,496.710000,414.870000,302.160000,458.180000
868.100000,358.930000,691.900000,384.190000,496.490000,415.030000,302.010000,458.020000
868.130000,358.940000,691.900000,384.200000,496.080000,414.990000,302.070000,457.980000
868.090000,358.930000,691.820000,384.190000,495.900000,414.980000,302.080000,457.980000
868.080000,358.910000,691.750000,384.180000,495.880000,414.940000,302.000000,457.980000
868.080000,358.910000,691.690000,384.200000,495.710000,414.980000,302.060000,457.950000
868.060000,358.910000,691.590000,384.220000,495.630000,414.990000,302.050000,457.940000
868.000000,358.950000,690.970000,384.220000,495.570000,414.970000,301.960000,457.980000
868.000000,358.950000,690.480000,384.180000,495.570000,414.960000,301.960000,457.980000
867.940000,358.960000,690.350000,384.210000,495.670000,414.980000,301.920000,458.210000
867.890000,358.970000,690.230000,384.230000,495.330000,414.940000,301.900000,457.890000
867.800000,358.990000,690.190000,384.210000,495.160000,414.870000,301.820000,457.840000
867.770000,358.980000,690.120000,384.240000,494.770000,414.870000,301.730000,457.840000
867.800000,358.990000,690.090000,384.260000,493.990000,414.830000,301.360000,457.850000
867.630000,359.000000,689.960000,384.290000,493.400000,414.760000,300.930000,457.910000
867.610000,359.000000,689.790000,384.320000,493.290000,414.740000,300.810000,457.830000
867.540000,359.020000,689.800000,384.450000,492.990000,414.850000,300.730000,457.700000
867.080000,358.980000,689.770000,384.930000,492.750000,414.900000,300.620000,457.810000
867.070000,358.970000,689.680000,384.920000,492.690000,414.870000,300.530000,457.840000
867.060000,358.960000,689.510000,384.910000,492.780000,414.690000,299.710000,457.880000
867.030000,358.980000,688.990000,384.910000,492.540000,414.870000,298.990000,457.930000
866.990000,358.970000,688.860000,384.950000,492.130000,414.870000,298.190000,457.910000
867.000000,359.010000,688.940000,384.940000,492.120000,414.730000,297.590000,457.890000
867.000000,359.010000,688.940000,384.940000,492.120000,414.730000,297.600000,457.900000
867.010000,359.010000,688.940000,384.950000,491.990000,414.610000,297.340000,457.920000
867.000000,359.020000,688.850000,384.990000,492.060000,414.740000,297.270000,457.850000
867.010000,359.000000,688.840000,385.020000,491.980000,414.720000,297.280000,457.900000
867.010000,359.000000,688.790000,385.070000,491.980000,414.770000,297.390000,457.870000
867.010000,359.000000,688.780000,385.060000,491.980000,414.860000,297.490000,457.940000
867.020000,359.020000,688.710000,385.070000,491.690000,414.870000,297.830000,457.930000
867.020000,359.000000,688.690000,385.080000,491.120000,414.840000,297.720000,457.830000
867.000000,358.990000,688.620000,385.110000,491.160000,414.840000,297.700000,457.850000
867.010000,358.990000,688.690000,385.150000,491.280000,414.750000,297.670000,457.970000
867.010000,358.950000,688.650000,385.060000,491.280000,414.790000,297.710000,458.040000
867.010000,359.010000,688.660000,385.100000,491.630000,414.920000,297.470000,458.120000
867.010000,358.830000,688.580000,385.160000,491.580000,414.920000,296.910000,458.030000
867.070000,358.940000,688.640000,385.170000,491.120000,414.930000,296.430000,457.950000
867.030000,358.940000,688.470000,385.190000,490.860000,414.870000,296.160000,458.160000
867.030000,358.940000,688.070000,385.150000,490.860000,414.870000,296.150000,458.150000
867.020000,358.920000,688.070000,385.220000,491.030000,415.090000,296.120000,458.090000
867.020000,358.920000,688.020000,385.150000,490.910000,415.110000,296.170000,458.040000
867.030000,358.910000,688.020000,385.180000,491.050000,415.110000,296.150000,458.140000
867.040000,358.920000,687.980000,385.260000,490.940000,415.110000,296.180000,458.160000
867.030000,358.910000,687.980000,385.310000,490.770000,415.130000,296.090000,458.130000
867.030000,358.910000,688.010000,385.240000,490.830000,415.200000,296.110000,458.300000
867.040000,358.910000,687.990000,385.180000,490.870000,415.130000,296.260000,458.250000
867.040000,358.930000,688.050000,385.140000,491.060000,415.380000,296.130000,458.390000
867.050000,358.950000,688.050000,385.250000,491.130000,415.760000,296.060000,458.530000
867.050000,358.940000,688.060000,385.210000,491.040000,415.890000,296.050000,459.200000
867.040000,358.920000,688.060000,385.140000,491.100000,415.870000,296.100000,459.880000
867.060000,358.950000,688.010000,385.180000,490.960000,415.930000,296.000000,460.390000
867.060000,358.940000,688.070000,385.240000,491.000000,415.990000,295.930000,460.180000
867.060000,358.970000,688.000000,385.140000,491.020000,415.690000,295.830000,459.840000
867.060000,358.970000,688.000000,385.140000,490.960000,414.960000,295.820000,459.850000
867.040000,359.020000,688.000000,385.000000,490.650000,414.020000,295.880000,459.770000
867.070000,358.990000,688.110000,384.910000,490.070000,413.200000,295.850000,459.750000
867.090000,358.950000,688.250000,384.830000,490.180000,412.390000,295.960000,459.550000
867.070000,358.880000,688.360000,384.710000,490.140000,412.430000,296.010000,458.760000
867.070000,358.790000,688.560000,384.580000,490.150000,412.340000,295.970000,457.840000
867.060000,358.700000,688.940000,383.910000,490.380000,412.160000,296.000000,456.950000
867.040000,358.560000,689.010000,383.160000,491.010000,412.050000,295.970000,456.100000
867.080000,358.190000,689.050000,382.440000,491.700000,411.970000,296.190000,455.200000
867.170000,358.050000,689.200000,382.330000,491.920000,411.930000,296.600000,454.270000
867.180000,357.920000,689.320000,382.170000,492.130000,411.800000,297.670000,454.030000
867.170000,357.800000,689.600000,382.040000,492.460000,411.690000,298.710000,454.090000
867.310000,357.320000,690.130000,381.880000,493.480000,411.370000,299.650000,454.060000
867.480000,356.800000,690.890000,381.680000,494.140000,410.460000,300.620000,453.830000
868.000000,356.380000,691.820000,381.000000,495.140000,409.620000,301.990000,453.660000
868.000000,356.370000,691.950000,380.500000,495.700000,408.930000,302.730000,452.810000
868.200000,356.130000,692.070000,380.380000,496.170000,408.030000,303.830000,451.970000
868.230000,356.100000,692.210000,380.440000,496.860000,407.530000,304.790000,451.020000
868.270000,356.100000,692.410000,380.520000,497.800000,408.370000,305.360000,451.000000
868.320000,356.090000,693.150000,381.120000,498.620000,409.210000,306.050000,451.150000
868.370000,356.070000,693.870000,381.850000,498.900000,409.870000,306.930000,451.130000
868.410000,356.060000,694.250000,382.330000,498.980000,410.630000,307.700000,451.090000
868.430000,356.070000,694.410000,382.420000,499.130000,410.600000,307.990000,451.070000
868.590000,356.050000,694.710000,382.470000,499.310000,410.570000,308.220000,451.000000
868.850000,356.090000,694.720000,382.510000,499.510000,410.590000,309.050000,451.040000
868.900000,356.080000,694.870000,382.540000,500.150000,410.450000,309.690000,451.090000
868.960000,356.070000,694.950000,382.550000,500.800000,409.980000,310.050000,451.190000
868.970000,356.080000,695.120000,382.610000,500.950000,410.080000,310.080000,451.320000
868.970000,356.100000,695.150000,382.710000,500.960000,410.030000,310.190000,451.440000
869.020000,356.170000,695.350000,382.690000,501.200000,410.220000,310.160000,451.990000
869.020000,356.170000,695.750000,382.710000,501.200000,410.220000,310.150000,452.010000
869.070000,356.210000,695.920000,382.700000,501.410000,410.260000,310.220000,451.920000
869.080000,356.210000,695.980000,382.730000,501.940000,410.370000,310.320000,451.960000
869.070000,356.190000,696.010000,382.720000,501.980000,410.430000,310.710000,451.980000
869.080000,356.200000,696.070000,382.690000,501.950000,410.260000,311.290000,452.320000
869.070000,356.220000,696.150000,382.700000,502.030000,410.250000,311.790000,453.060000
869.120000,356.160000,696.170000,382.690000,502.010000,410.420000,311.880000,453.760000
869.220000,356.130000,696.260000,382.670000,502.160000,410.960000,311.920000,453.810000
869.200000,356.110000,696.290000,382.690000,502.190000,410.950000,311.870000,453.820000
869.220000,356.110000,696.320000,382.670000,502.290000,410.980000,311.880000,453.940000
869.200000,356.080000,696.360000,382.660000,502.410000,411.040000,311.910000,453.880000
869.170000,356.070000,696.370000,382.650000,502.920000,410.990000,312.030000,453.860000
869.210000,356.020000,696.430000,382.650000,502.890000,410.950000,312.020000,453.840000
869.260000,355.980000,696.550000,382.630000,502.900000,410.960000,312.030000,453.850000
869.300000,355.960000,696.920000,382.620000,502.940000,411.000000,312.250000,453.750000
869.300000,355.960000,696.920000,382.620000,502.930000,411.000000,312.270000,453.780000
869.360000,355.940000,696.950000,382.610000,502.700000,410.850000,312.650000,453.690000
869.360000,355.940000,696.960000,382.610000,502.620000,410.940000,312.950000,453.740000
869.340000,355.940000,696.970000,382.620000,502.680000,410.970000,312.970000,453.730000
869.340000,355.930000,697.010000,382.600000,502.810000,410.970000,312.820000,453.630000
869.360000,355.920000,697.050000,382.600000,502.870000,410.900000,312.840000,453.470000
869.370000,355.930000,697.060000,382.590000,502.990000,410.820000,313.120000,452.760000
869.520000,355.910000,697.080000,382.620000,502.960000,410.780000,313.090000,452.060000
869.740000,355.960000,697.090000,382.610000,503.090000,410.750000,312.930000,451.370000
869.860000,355.910000,697.120000,382.590000,503.110000,410.780000,312.880000,451.130000
869.830000,355.920000,697.150000,382.610000,503.080000,410.810000,312.960000,451.070000
869.800000,355.940000,697.220000,382.580000,503.110000,410.770000,313.080000,451.020000
869.810000,355.950000,697.250000,382.560000,503.130000,410.620000,313.070000,451.140000
869.810000,355.960000,697.240000,382.550000,503.120000,410.000000,313.100000,451.040000
869.860000,355.870000,697.340000,382.500000,503.010000,409.390000,313.480000,451.110000
869.860000,355.870000,697.220000,381.990000,503.010000,409.410000,313.800000,451.100000
869.860000,355.770000,697.280000,381.970000,503.060000,409.490000,313.930000,451.020000
869.920000,355.780000,697.320000,381.960000,503.220000,410.060000,313.950000,451.280000
869.960000,355.760000,697.380000,381.960000,503.530000,410.840000,313.980000,451.280000
869.870000,355.770000,697.330000,381.960000,503.990000,411.670000,314.010000,451.200000
869.950000,355.750000,697.360000,381.960000,503.950000,411.590000,314.030000,451.130000
869.950000,355.770000,697.350000,381.980000,504.000000,411.350000,313.970000,451.410000
869.950000,355.760000,697.410000,381.990000,504.080000,410.790000,313.900000,452.150000
869.960000,355.770000,697.420000,381.980000,503.910000,410.160000,313.890000,452.830000
869.950000,355.780000,697.420000,381.970000,503.790000,410.200000,313.850000,453.560000
869.950000,355.780000,697.520000,381.990000,503.890000,410.270000,313.860000,453.690000
869.950000,355.760000,697.960000,382.000000,503.890000,410.280000,313.900000,453.660000
869.950000,355.780000,697.960000,382.000000,503.990000,410.230000,313.820000,453.830000
869.930000,355.770000,697.960000,382.010000,504.070000,410.120000,313.790000,453.810000
869.980000,355.680000,697.980000,381.990000,503.880000,410.270000,313.920000,453.660000
869.950000,355.680000,697.910000,381.970000,503.820000,410.460000,313.980000,453.670000
869.950000,355.690000,697.930000,381.960000,504.120000,410.890000,313.960000,453.640000
869.960000,355.680000,697.960000,381.950000,504.030000,410.780000,314.000000,453.670000
869.970000,355.670000,698.000000,381.950000,504.130000,410.860000,314.090000,453.570000
869.960000,355.690000,697.980000,381.960000,504.070000,410.800000,314.240000,452.760000
869.990000,355.660000,698.040000,381.960000,504.180000,410.860000,314.220000,451.890000
869.980000,355.670000,697.960000,381.970000,504.250000,410.820000,314.470000,451.240000
