pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y
1263.749097,753.640794,775.084838,777.900722,NaN,NaN
1263.990000,753.980000,774.590000,778.010000,NaN,NaN
1264.290000,753.920000,775.130000,777.790000,NaN,NaN
1263.770000,753.980000,774.880000,777.950000,NaN,NaN
1263.960000,753.940000,775.050000,778.000000,NaN,NaN
1264.210000,753.550000,774.970000,777.680000,NaN,NaN
1264.110000,752.780000,775.060000,777.670000,NaN,NaN
1263.910000,752.230000,774.850000,777.100000,NaN,NaN
1264.180000,751.810000,775.280000,776.180000,NaN,NaN
1264.170000,751.460000,775.360000,776.030000,NaN,NaN
1263.970000,751.600000,775.530000,776.390000,NaN,NaN
1264.290000,751.730000,775.570000,776.050000,NaN,NaN
1265.180000,751.590000,776.640000,775.750000,NaN,NaN
1265.990000,750.370000,777.450000,775.560000,NaN,NaN
1266.730000,749.990000,777.710000,774.730000,NaN,NaN
1266.810000,750.020000,777.240000,774.760000,NaN,NaN
1266.780000,750.100000,777.140000,775.020000,NaN,NaN
1266.910000,749.940000,777.100000,775.120000,NaN,NaN
1267.020000,750.020000,777.000000,775.060000,NaN,NaN
1266.960000,750.070000,777.150000,775.220000,NaN,NaN
1266.960000,750.030000,777.530000,775.300000,NaN,NaN
1266.880000,750.030000,778.090000,775.140000,NaN,NaN
1266.890000,750.040000,778.180000,775.390000,NaN,NaN
1266.950000,749.990000,777.910000,775.080000,NaN,NaN
1266.860000,750.010000,778.000000,775.760000,NaN,NaN
1266.850000,749.850000,778.010000,775.810000,NaN,NaN
1266.980000,749.940000,778.180000,775.710000,NaN,NaN
1266.920000,749.950000,778.080000,775.750000,NaN,NaN
1266.930000,749.930000,778.200000,775.830000,NaN,NaN
1266.890000,749.930000,778.240000,775.760000,NaN,NaN
1267.050000,749.880000,778.350000,775.300000,NaN,NaN
1267.020000,749.890000,778.380000,775.050000,NaN,NaN
1267.030000,749.900000,778.490000,775.200000,NaN,NaN
1267.090000,749.910000,778.720000,775.430000,NaN,NaN
1266.990000,749.930000,778.730000,775.630000,NaN,NaN
1266.810000,749.930000,778.440000,775.750000,NaN,NaN
1266.990000,750.020000,778.510000,775.980000,NaN,NaN
1267.080000,749.990000,779.110000,775.790000,NaN,NaN
1267.020000,749.890000,779.070000,775.980000,NaN,NaN
1267.000000,749.950000,778.920000,775.860000,NaN,NaN
1267.020000,749.990000,778.830000,775.890000,NaN,NaN
1267.030000,749.980000,778.710000,775.840000,NaN,NaN
1267.030000,749.990000,778.940000,775.590000,NaN,NaN
1267.020000,749.950000,778.830000,775.590000,NaN,NaN
1267.040000,749.980000,779.090000,775.770000,NaN,NaN
1266.970000,749.970000,779.290000,776.000000,NaN,NaN
1267.220000,749.980000,779.250000,775.980000,NaN,NaN
1267.250000,749.960000,778.960000,775.800000,NaN,NaN
1267.240000,749.970000,778.950000,775.730000,NaN,NaN
1267.180000,749.970000,779.270000,775.380000,NaN,NaN
1267.120000,749.930000,779.510000,775.270000,NaN,NaN
1267.220000,749.920000,779.710000,775.360000,NaN,NaN
1267.050000,749.960000,779.920000,775.390000,NaN,NaN
1267.290000,749.990000,779.990000,775.600000,NaN,NaN
1267.330000,750.010000,780.000000,775.620000,NaN,NaN
1267.300000,750.080000,779.920000,775.800000,NaN,NaN
1267.410000,750.080000,779.880000,775.860000,NaN,NaN
1267.260000,750.040000,779.720000,775.710000,NaN,NaN
1267.080000,750.090000,779.870000,775.740000,NaN,NaN
1267.050000,750.150000,779.890000,775.880000,NaN,NaN
1267.950000,750.240000,779.700000,776.060000,NaN,NaN
1268.950000,750.490000,779.810000,776.260000,NaN,NaN
1269.850000,751.740000,780.020000,776.270000,NaN,NaN
1270.530000,752.300000,779.970000,776.580000,NaN,NaN
1270.320000,752.490000,780.250000,776.660000,NaN,NaN
1269.770000,752.620000,780.050000,777.050000,NaN,NaN
1269.030000,753.160000,780.240000,777.140000,NaN,NaN
1268.520000,753.940000,780.070000,777.360000,NaN,NaN
1268.400000,754.240000,780.180000,777.580000,NaN,NaN
1268.470000,754.330000,780.190000,777.660000,NaN,NaN
1268.190000,754.320000,780.270000,777.930000,NaN,NaN
1268.780000,755.530000,780.470000,778.090000,NaN,NaN
1268.910000,756.060000,780.990000,778.230000,NaN,NaN
1268.950000,756.270000,780.980000,778.330000,NaN,NaN
1268.900000,756.710000,780.930000,778.640000,NaN,NaN
1268.970000,757.130000,780.800000,779.290000,NaN,NaN
1269.180000,757.930000,780.920000,779.790000,NaN,NaN
1268.930000,758.460000,780.830000,780.060000,NaN,NaN
1268.920000,758.960000,780.790000,780.240000,NaN,NaN
1268.670000,758.870000,780.830000,780.320000,NaN,NaN
1268.120000,758.810000,780.820000,780.250000,NaN,NaN
1268.120000,758.830000,780.730000,780.270000,NaN,NaN
1268.260000,758.600000,780.770000,779.990000,NaN,NaN
1268.120000,757.960000,780.830000,779.810000,NaN,NaN
1268.280000,757.330000,780.910000,779.590000,NaN,NaN
1268.210000,756.610000,780.720000,778.220000,NaN,NaN
1268.500000,755.960000,780.800000,777.640000,NaN,NaN
1269.180000,755.240000,780.920000,777.230000,NaN,NaN
1269.760000,754.820000,781.110000,776.820000,NaN,NaN
1269.890000,754.010000,781.050000,776.230000,NaN,NaN
1269.960000,753.520000,780.940000,776.000000,NaN,NaN
1269.980000,753.140000,781.120000,775.890000,NaN,NaN
1269.780000,752.480000,781.090000,775.560000,NaN,NaN
1269.860000,751.980000,781.210000,775.190000,NaN,NaN
1269.870000,751.600000,781.070000,775.070000,NaN,NaN
1270.050000,751.630000,781.330000,774.620000,NaN,NaN
1269.890000,751.960000,781.550000,774.390000,NaN,NaN
1270.000000,751.900000,781.130000,774.430000,NaN,NaN
1269.920000,751.850000,781.070000,774.330000,NaN,NaN
1269.850000,751.850000,780.890000,774.430000,NaN,NaN
1270.070000,751.900000,780.820000,774.400000,NaN,NaN
1269.940000,751.910000,780.730000,774.610000,NaN,NaN
1270.040000,751.860000,780.870000,775.020000,NaN,NaN
1270.040000,751.840000,781.040000,775.010000,NaN,NaN
1269.900000,751.850000,781.120000,774.670000,NaN,NaN
1269.980000,751.680000,781.200000,774.490000,NaN,NaN
1270.000000,751.690000,781.090000,774.450000,NaN,NaN
1269.780000,751.700000,781.240000,774.270000,NaN,NaN
1269.790000,751.820000,781.000000,774.230000,NaN,NaN
1269.670000,751.580000,780.920000,774.270000,NaN,NaN
1269.870000,750.980000,781.090000,774.290000,NaN,NaN
1270.020000,750.140000,781.140000,774.400000,NaN,NaN
1269.950000,749.680000,780.900000,774.360000,NaN,NaN
1269.830000,749.780000,781.100000,774.520000,NaN,NaN
1269.800000,750.130000,781.080000,774.880000,NaN,NaN
1269.990000,750.310000,781.020000,775.040000,NaN,NaN
1270.100000,750.840000,781.090000,774.950000,NaN,NaN
1270.000000,750.830000,781.080000,774.890000,NaN,NaN
1269.930000,750.880000,781.110000,774.700000,NaN,NaN
1270.010000,750.740000,781.130000,774.540000,NaN,NaN
1270.070000,750.740000,781.080000,774.220000,NaN,NaN
1269.960000,750.860000,781.150000,774.330000,NaN,NaN
1270.040000,750.640000,781.190000,774.250000,NaN,NaN
1270.000000,750.100000,781.150000,774.190000,NaN,NaN
1270.190000,750.080000,781.200000,774.250000,NaN,NaN
1270.090000,750.130000,781.170000,774.430000,NaN,NaN
1269.970000,750.140000,781.240000,774.720000,NaN,NaN
1270.040000,750.120000,781.100000,774.420000,NaN,NaN
1269.990000,750.070000,781.180000,774.440000,NaN,NaN
1269.970000,750.100000,781.240000,774.420000,NaN,NaN
1270.010000,750.070000,781.290000,774.380000,NaN,NaN
1269.910000,750.050000,781.490000,774.260000,NaN,NaN
1269.850000,750.030000,781.770000,775.600000,NaN,NaN
1270.010000,750.030000,782.020000,775.630000,NaN,NaN
1269.970000,750.030000,781.850000,774.620000,NaN,NaN
1269.980000,750.050000,781.890000,774.340000,NaN,NaN
1270.040000,750.040000,782.020000,774.410000,NaN,NaN
1269.970000,750.050000,782.060000,774.420000,NaN,NaN
1269.910000,750.070000,782.170000,774.370000,NaN,NaN
1269.940000,750.090000,781.840000,774.280000,NaN,NaN
1269.930000,750.090000,781.790000,774.520000,NaN,NaN
1269.890000,750.100000,781.590000,775.200000,NaN,NaN
1270.010000,750.090000,781.220000,774.500000,NaN,NaN
1270.100000,750.100000,781.390000,774.350000,NaN,NaN
1269.960000,750.040000,780.960000,774.180000,NaN,NaN
1269.920000,750.040000,780.960000,774.070000,NaN,NaN
