pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y
381.392224,383.015231,332.667931,476.565874,223.525514,472.667931,180.648136,552.575772,167.005334,620.789782,120.230013,698.748651
380.970000,383.000000,332.970000,477.000000,223.970000,473.020000,180.990000,553.040000,166.990000,621.040000,120.050000,699.080000
380.970000,383.030000,333.000000,477.020000,223.940000,473.060000,180.980000,553.090000,166.970000,621.150000,120.080000,699.160000
380.950000,383.070000,332.980000,477.050000,223.900000,473.070000,180.990000,553.130000,166.990000,621.190000,120.200000,699.230000
380.880000,383.100000,332.970000,477.080000,223.830000,473.130000,180.930000,553.170000,166.970000,621.320000,120.240000,699.280000
380.860000,383.130000,332.970000,477.120000,223.760000,473.190000,180.890000,553.230000,166.940000,621.430000,120.220000,699.540000
380.830000,383.160000,332.960000,477.160000,223.720000,473.230000,180.820000,553.260000,166.920000,621.750000,120.240000,699.960000
378.740000,382.980000,331.020000,476.650000,222.790000,473.090000,179.620000,552.840000,165.610000,620.750000,118.980000,698.890000
371.990000,382.420000,323.040000,474.910000,219.140000,472.370000,176.030000,550.740000,162.310000,618.360000,116.280000,696.150000
369.810000,381.630000,320.700000,473.940000,217.070000,471.500000,174.600000,550.020000,161.790000,618.050000,116.210000,695.740000
371.440000,380.900000,323.780000,473.320000,219.200000,470.930000,176.180000,550.200000,162.880000,618.300000,117.020000,695.160000
374.990000,379.880000,327.460000,473.070000,222.700000,470.290000,179.370000,550.780000,165.480000,618.650000,117.300000,694.920000
378.250000,379.350000,331.410000,473.190000,225.920000,470.400000,182.300000,551.340000,168.000000,619.250000,117.060000,694.750000
380.440000,379.220000,334.300000,473.080000,228.130000,470.560000,184.390000,551.960000,169.700000,619.860000,116.700000,694.730000
381.340000,379.210000,335.190000,473.020000,229.190000,471.010000,185.150000,552.390000,170.340000,620.030000,116.020000,694.700000
381.860000,379.230000,335.540000,473.020000,229.610000,470.980000,185.520000,552.350000,170.680000,620.000000,115.330000,694.660000
382.220000,379.210000,335.660000,473.070000,229.650000,470.890000,185.730000,551.990000,170.880000,619.940000,115.110000,694.420000
382.350000,379.200000,335.710000,473.050000,229.750000,470.840000,185.840000,551.980000,170.990000,619.900000,115.040000,694.000000
382.470000,379.190000,335.750000,473.080000,229.810000,470.790000,185.940000,551.980000,171.180000,619.900000,115.050000,693.990000
382.610000,379.170000,335.750000,473.090000,229.830000,470.750000,186.020000,551.950000,171.340000,619.900000,115.130000,693.960000
