pt1_cam1_X,pt1_cam1_Y
166.203971,372.413357
166.820000,371.430000
167.280000,371.440000
168.260000,370.090000
168.390000,370.040000
169.060000,369.530000
169.470000,366.140000
169.710000,365.340000
169.970000,363.930000
169.970000,363.170000
169.970000,363.150000
169.860000,364.650000
169.960000,365.530000
170.510000,364.300000
171.660000,362.240000
172.990000,360.090000
173.040000,360.070000
174.930000,356.120000
177.030000,354.030000
179.880000,350.030000
182.890000,346.060000
184.440000,343.900000
184.420000,343.900000
186.090000,340.150000
187.590000,338.060000
188.660000,335.840000
189.490000,333.690000
190.130000,331.910000
191.710000,330.280000
192.200000,328.590000
192.530000,327.480000
193.060000,325.680000
193.920000,324.100000
194.180000,322.900000
194.180000,322.900000
194.320000,321.930000
194.830000,320.680000
194.860000,319.980000
194.990000,319.290000
195.060000,318.470000
195.120000,318.370000
195.070000,318.070000
194.990000,317.730000
195.380000,316.880000
195.900000,316.210000
195.850000,315.920000
195.850000,315.920000
195.860000,315.230000
196.120000,314.470000
196.150000,314.020000
196.300000,313.580000
196.910000,312.910000
196.910000,312.870000
196.860000,312.620000
197.180000,312.150000
197.430000,311.910000
197.800000,311.690000
198.190000,311.070000
198.290000,311.040000
198.290000,310.810000
198.670000,310.300000
198.910000,310.030000
199.130000,309.870000
199.170000,309.530000
199.250000,309.320000
199.310000,309.120000
199.490000,308.400000
199.810000,307.980000
199.890000,307.790000
200.120000,307.520000
200.200000,307.270000
200.410000,307.050000
200.850000,306.180000
200.930000,305.790000
201.070000,305.420000
201.190000,305.020000
201.190000,305.020000
201.360000,304.620000
201.580000,304.150000
201.750000,303.990000
201.730000,303.600000
201.810000,303.110000
201.810000,303.110000
201.760000,303.070000
201.730000,302.980000
201.740000,302.890000
201.810000,302.820000
201.820000,302.710000
201.820000,302.710000
201.840000,302.370000
201.820000,302.220000
201.820000,302.380000
201.830000,302.360000
201.870000,302.340000
201.870000,302.340000
201.900000,302.390000
201.910000,302.350000
202.060000,302.230000
202.070000,301.960000
202.400000,301.740000
202.570000,301.680000
202.440000,301.470000
202.220000,301.450000
201.940000,301.370000
201.750000,301.630000
201.570000,301.940000
201.300000,301.930000
201.240000,302.220000
200.910000,302.280000
200.820000,302.660000
200.410000,302.830000
200.120000,302.810000
200.120000,302.810000
199.900000,302.830000
199.700000,302.920000
199.460000,303.200000
199.160000,303.570000
199.020000,303.860000
199.020000,303.860000
198.660000,304.040000
198.270000,304.210000
198.090000,304.460000
197.750000,304.760000
