pt1_cam1_X,pt1_cam1_Y
483.315884,134.579422
482.630000,132.180000
482.450000,129.120000
483.310000,125.090000
486.110000,118.890000
489.000000,112.970000
491.020000,108.620000
493.130000,109.630000
494.160000,112.170000
494.240000,114.330000
493.940000,115.560000
493.780000,116.440000
493.650000,116.810000
493.400000,117.070000
493.170000,117.140000
493.150000,117.110000
493.160000,117.120000
493.170000,117.130000
493.150000,117.140000
493.140000,117.000000
492.810000,116.850000
492.660000,115.810000
492.020000,114.470000
491.310000,112.160000
490.380000,109.940000
489.410000,108.260000
488.410000,107.450000
488.080000,107.220000
487.980000,107.200000
487.560000,106.640000
487.240000,105.940000
486.970000,105.320000
486.770000,105.190000
486.480000,105.120000
486.010000,105.310000
486.040000,106.130000
485.910000,107.040000
485.930000,107.970000
485.930000,108.780000
485.800000,109.680000
485.350000,111.100000
485.080000,112.340000
484.560000,114.010000
483.890000,114.120000
483.770000,115.030000
483.440000,116.040000
483.320000,116.790000
483.070000,116.790000
482.740000,116.410000
482.280000,116.220000
482.050000,116.270000
481.690000,116.190000
481.950000,116.960000
482.140000,117.670000
481.700000,116.090000
480.180000,113.240000
479.580000,109.660000
477.820000,102.190000
482.070000,102.560000
485.780000,102.850000
487.630000,103.020000
488.710000,103.490000
489.160000,103.290000
489.060000,102.430000
489.040000,101.850000
489.050000,101.600000
488.790000,101.340000
488.570000,101.410000
488.270000,101.160000
488.220000,101.140000
488.200000,101.200000
488.100000,101.290000
487.850000,102.240000
487.650000,101.710000
487.360000,99.810000
486.800000,97.580000
485.150000,95.120000
484.260000,95.070000
483.870000,97.840000
483.780000,100.400000
483.550000,103.230000
483.530000,107.000000
484.430000,112.610000
484.540000,115.760000
485.410000,118.880000
486.070000,121.630000
485.920000,124.830000
485.620000,128.980000
485.410000,132.930000
485.190000,135.000000
484.340000,137.150000
483.390000,139.210000
482.010000,141.060000
480.970000,143.140000
479.540000,144.910000
477.700000,144.530000
475.980000,143.260000
473.990000,143.920000
472.030000,146.560000
470.200000,148.680000
468.760000,146.500000
468.000000,144.800000
467.040000,141.790000
466.810000,137.120000
460.300000,126.140000
473.780000,120.500000
480.570000,116.050000
483.030000,116.670000
484.520000,116.420000
485.180000,115.890000
485.140000,115.000000
485.180000,114.130000
485.130000,113.560000
485.270000,112.860000
485.320000,112.130000
485.290000,111.480000
485.270000,111.390000
485.400000,111.300000
485.520000,111.150000
485.610000,110.950000
485.250000,109.500000
485.150000,107.890000
485.080000,106.360000
484.820000,105.000000
484.640000,103.130000
483.480000,100.910000
481.330000,100.090000
479.690000,102.570000
478.380000,105.420000
477.520000,109.760000
478.060000,113.080000
478.300000,115.660000
479.410000,119.660000
480.480000,123.370000
480.630000,126.850000
479.820000,129.830000
478.860000,132.280000
477.920000,135.010000
477.170000,137.230000
476.430000,139.170000
475.820000,141.040000
475.910000,142.950000
475.860000,144.110000
474.900000,143.770000
474.020000,143.550000
473.160000,144.020000
472.470000,146.400000
471.480000,147.760000
470.900000,148.520000
469.370000,148.150000
468.480000,145.770000
467.160000,141.600000
457.140000,139.760000
466.540000,134.000000
468.900000,124.970000
467.100000,120.800000
482.270000,117.640000
479.080000,114.210000
480.300000,113.570000
481.250000,114.880000
485.930000,117.110000
485.860000,116.810000
485.880000,116.150000
485.910000,116.190000
485.770000,115.450000
485.280000,114.670000
485.310000,114.260000
485.120000,114.270000
484.420000,114.560000
483.860000,114.040000
483.900000,111.540000
483.730000,109.320000
483.790000,106.900000
483.820000,105.450000
483.040000,104.290000
481.000000,102.890000
478.900000,102.370000
477.610000,105.560000
477.580000,111.770000
478.720000,117.880000
479.710000,122.300000
479.810000,126.870000
479.500000,130.080000
479.550000,132.210000
478.710000,134.110000
477.960000,136.050000
477.220000,138.900000
476.380000,142.050000
475.760000,144.120000
475.020000,146.700000
474.050000,149.330000
472.950000,151.360000
472.130000,153.940000
464.480000,153.900000
472.520000,162.020000
463.340000,155.540000
461.180000,152.570000
461.070000,155.260000
460.270000,157.200000
460.160000,159.500000
459.270000,162.040000
458.650000,163.370000
458.120000,163.260000
457.300000,164.830000
458.070000,165.420000
458.300000,153.300000
460.420000,140.380000
465.510000,133.160000
477.400000,127.220000
472.760000,123.280000
474.250000,122.520000
475.440000,122.520000
475.980000,121.920000
476.210000,120.930000
481.490000,122.640000
481.450000,122.210000
481.450000,122.020000
481.390000,121.840000
481.450000,121.840000
481.330000,121.620000
481.000000,121.200000
480.810000,120.560000
480.380000,119.540000
478.980000,113.950000
466.540000,102.750000
475.518051,105.987365
474.690000,107.700000
474.850000,113.600000
475.490000,118.960000
476.330000,123.240000
477.160000,128.070000
477.120000,132.100000
476.270000,135.920000
475.220000,139.160000
474.280000,142.270000
473.540000,145.040000
471.190000,149.500000
470.500000,152.750000
469.980000,154.810000
469.710000,157.270000
469.170000,160.220000
468.530000,162.830000
467.600000,166.370000
466.410000,168.400000
465.110000,170.880000
464.130000,173.700000
463.030000,175.300000
462.010000,176.410000
461.390000,178.190000
460.760000,180.080000
459.990000,180.310000
459.980000,180.390000
462.230000,172.850000
463.020000,152.240000
468.600000,142.960000
473.500000,136.780000
478.600000,132.910000
480.710000,131.450000
481.440000,130.450000
481.880000,129.940000
482.150000,129.310000
482.320000,128.830000
482.420000,128.210000
482.410000,127.560000
482.230000,126.980000
482.080000,126.360000
482.020000,126.360000
481.910000,126.120000
481.860000,125.930000
481.020000,124.340000
480.630000,120.410000
479.930000,116.880000
478.870000,114.180000
478.280000,112.700000
477.650000,111.170000
476.720000,110.040000
475.520000,111.600000
475.350000,116.830000
475.970000,119.060000
476.060000,121.390000
476.090000,124.030000
476.030000,126.520000
475.650000,128.530000
475.080000,130.330000
475.200000,132.260000
475.430000,134.170000
475.580000,136.170000
475.700000,138.200000
474.030000,141.980000
473.990000,143.880000
473.820000,145.640000
473.830000,147.570000
473.810000,150.350000
473.700000,152.520000
473.350000,155.730000
472.880000,157.700000
472.010000,159.350000
471.920000,161.010000
471.340000,162.980000
470.380000,165.060000
469.910000,166.340000
468.990000,166.950000
468.940000,168.030000
465.830000,148.360000
467.090000,141.430000
471.890000,134.610000
477.400000,130.330000
481.130000,126.790000
482.580000,126.160000
483.450000,125.660000
483.880000,125.210000
483.960000,124.860000
484.140000,123.910000
484.150000,123.280000
484.080000,123.070000
483.980000,122.870000
483.930000,122.560000
483.820000,122.050000
483.430000,121.380000
482.470000,118.310000
481.560000,115.020000
479.840000,112.810000
478.000000,113.520000
477.450000,115.510000
477.920000,118.100000
478.310000,121.420000
479.160000,125.100000
480.320000,129.300000
481.080000,133.520000
481.020000,136.350000
480.880000,138.680000
480.770000,139.900000
480.830000,139.960000
479.310000,140.990000
479.340000,140.980000
479.470000,140.950000
477.650000,143.240000
477.610000,145.040000
477.280000,146.220000
477.060000,147.520000
476.830000,148.840000
476.400000,150.590000
475.410000,152.170000
474.440000,154.190000
472.820000,155.840000
470.980000,157.620000
470.020000,158.550000
468.990000,160.140000
467.010000,161.680000
465.940000,163.380000
465.110000,164.860000
465.150000,164.670000
465.160000,163.900000
462.810000,146.370000
463.750000,138.460000
468.710000,132.350000
473.970000,128.340000
478.110000,124.750000
480.420000,124.430000
481.690000,124.370000
482.410000,124.010000
482.780000,123.720000
482.890000,123.160000
482.980000,122.760000
482.900000,122.160000
482.910000,121.790000
482.920000,121.310000
482.920000,121.230000
482.920000,121.210000
482.460000,119.870000
482.030000,117.150000
481.430000,114.870000
480.680000,113.330000
479.360000,113.460000
478.430000,116.450000
478.330000,119.920000
478.320000,125.940000
478.920000,130.600000
479.760000,135.890000
479.010000,141.510000
479.290000,145.060000
479.090000,147.860000
478.630000,149.310000
477.600000,152.310000
476.780000,154.900000
475.830000,157.100000
475.200000,160.190000
474.380000,162.410000
473.850000,164.390000
472.940000,166.410000
472.690000,168.430000
472.220000,170.470000
471.540000,172.730000
470.680000,174.470000
469.630000,176.540000
468.430000,178.680000
467.300000,180.690000
465.240000,182.860000
462.890000,185.510000
460.930000,187.680000
461.222022,193.063177
460.060000,195.370000
457.340000,179.910000
457.090000,171.390000
461.390000,163.950000
466.870000,154.540000
470.170000,148.140000
