pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,pt9_cam1_X,pt9_cam1_Y,pt10_cam1_X,pt10_cam1_Y,pt11_cam1_X,pt11_cam1_Y
264.453920,698.146595,297.586440,624.687726,316.178214,558.422687,342.463818,482.412790,358.555592,398.607005,373.096337,314.801221,256.658034,595.453150,252.760090,492.157648,254.709062,406.402892,264.453920,328.444023,373.596337,229.046465
262.560000,697.640000,296.830000,624.750000,314.380000,557.880000,340.430000,482.210000,358.160000,399.370000,372.810000,315.170000,255.810000,594.860000,252.000000,491.910000,254.200000,405.690000,263.810000,327.740000,373.960000,229.040000
261.150000,697.280000,295.440000,624.630000,313.060000,557.840000,339.000000,482.550000,357.100000,399.890000,372.520000,315.440000,254.560000,594.770000,250.970000,491.850000,253.450000,405.320000,263.640000,327.460000,373.910000,229.070000
260.670000,697.010000,294.560000,624.510000,312.040000,557.750000,337.620000,482.830000,356.060000,400.230000,372.070000,315.790000,253.930000,594.600000,250.220000,491.800000,252.940000,404.970000,263.350000,327.150000,373.860000,229.080000
259.800000,696.970000,293.730000,624.360000,311.110000,557.750000,336.580000,482.950000,355.060000,400.670000,371.950000,315.880000,253.080000,594.620000,249.690000,491.780000,252.330000,404.790000,263.270000,327.010000,373.760000,229.120000
258.750000,697.170000,292.920000,624.450000,310.060000,557.920000,335.440000,483.210000,354.290000,401.000000,371.840000,315.980000,252.150000,594.840000,249.180000,491.830000,251.940000,404.290000,263.230000,326.870000,373.600000,229.140000
258.070000,697.620000,292.050000,624.900000,309.170000,558.200000,334.270000,483.760000,353.520000,401.430000,371.830000,316.130000,251.630000,595.160000,248.910000,492.010000,251.500000,404.230000,263.240000,326.840000,373.470000,229.230000
257.000000,698.240000,290.990000,625.410000,307.950000,558.750000,333.150000,484.110000,353.050000,401.870000,371.470000,316.580000,250.740000,595.760000,248.360000,492.380000,251.120000,404.270000,263.310000,326.900000,373.380000,229.370000
255.100000,697.250000,289.280000,624.570000,305.980000,557.890000,331.140000,483.470000,351.910000,401.130000,369.990000,316.310000,249.050000,595.010000,247.160000,492.180000,250.100000,403.910000,262.570000,326.350000,371.950000,229.300000
252.470000,694.120000,286.490000,622.030000,303.210000,555.530000,328.010000,481.850000,350.660000,399.400000,367.320000,315.650000,246.880000,592.800000,245.650000,490.470000,248.610000,402.610000,261.190000,325.030000,369.900000,228.920000
250.150000,691.700000,284.140000,620.120000,300.910000,553.780000,325.650000,480.860000,348.580000,398.620000,365.520000,315.050000,245.030000,590.810000,244.430000,489.030000,247.290000,401.400000,260.090000,323.940000,368.380000,228.520000
249.360000,689.750000,283.020000,618.520000,299.300000,552.760000,323.750000,480.350000,346.820000,398.280000,364.390000,314.680000,244.140000,589.190000,244.340000,487.680000,246.700000,400.250000,259.540000,323.130000,367.720000,228.070000
250.480000,689.080000,283.590000,617.860000,299.620000,552.400000,324.190000,480.000000,345.320000,398.560000,364.680000,314.170000,244.700000,588.530000,244.930000,486.690000,246.800000,399.720000,259.590000,322.760000,367.720000,227.850000
