pt1_cam1_X,pt1_cam1_Y
553.496390,428.297834
556.880000,428.000000
559.890000,427.980000
562.910000,427.960000
565.880000,427.940000
569.070000,427.950000
572.550000,427.970000
575.650000,427.980000
578.780000,428.000000
581.340000,428.000000
583.750000,427.970000
586.230000,427.980000
588.730000,427.970000
590.990000,426.170000
592.530000,426.030000
594.090000,425.960000
595.980000,425.900000
598.610000,424.090000
599.920000,423.780000
601.490000,421.790000
600.870000,417.040000
595.540000,406.990000
580.090000,387.000000
562.220000,375.000000
543.130000,360.990000
522.180000,346.990000
501.880000,328.980000
483.340000,326.970000
467.120000,321.000000
449.870000,308.970000
432.270000,304.980000
420.910000,301.010000
411.330000,296.990000
404.920000,295.010000
402.370000,291.030000
405.580000,283.970000
418.170000,275.970000
436.880000,277.930000
454.210000,287.980000
471.290000,302.000000
484.070000,315.990000
499.930000,328.990000
506.290000,333.990000
515.710000,344.040000
524.220000,346.060000
531.860000,348.030000
538.670000,352.000000
544.930000,353.990000
550.370000,356.020000
554.980000,356.020000
558.460000,358.000000
562.390000,357.980000
566.110000,357.990000
569.600000,357.980000
572.820000,357.970000
577.010000,356.050000
580.840000,356.030000
583.760000,355.970000
586.790000,354.080000
588.930000,353.980000
591.540000,352.080000
593.250000,351.810000
594.850000,349.900000
596.820000,348.060000
598.080000,347.880000
599.800000,346.210000
600.940000,345.850000
602.150000,344.360000
603.460000,343.950000
605.560000,342.260000
606.940000,341.660000
608.350000,339.220000
607.640000,337.030000
604.550000,327.000000
600.020000,319.900000
582.010000,302.990000
569.790000,293.020000
557.960000,283.010000
553.496390,285.337545
540.430000,276.990000
526.380000,271.000000
511.710000,262.990000
492.880000,254.990000
472.860000,249.000000
456.250000,240.980000
443.180000,237.010000
433.600000,233.000000
424.940000,229.000000
418.880000,224.990000
414.760000,221.000000
409.990000,217.030000
433.929603,196.962094
451.920000,196.980000
470.720000,204.990000
488.170000,219.000000
501.160000,234.990000
511.690000,244.990000
522.020000,250.980000
529.360000,259.000000
537.070000,260.990000
542.770000,264.990000
549.050000,266.990000
555.020000,268.980000
559.470000,270.970000
563.940000,270.980000
567.980000,270.990000
571.620000,271.010000
574.940000,271.010000
577.330000,270.990000
579.880000,270.950000
582.000000,270.860000
584.110000,270.680000
589.060000,268.990000
590.960000,268.910000
593.050000,268.920000
594.670000,268.890000
596.060000,268.840000
598.060000,268.790000
601.750000,268.920000
604.710000,268.960000
607.080000,269.010000
614.490000,267.950000
615.530000,267.810000
607.740000,268.020000
601.120000,254.000000
583.480000,236.010000
