pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y
373.596337,30.251349,358.004563,98.465359,356.055592,174.475257,342.412790,262.178984,319.025129,353.780655,289.790553,455.127185,272.249807,494.106620,225.474486,585.708291
373.970000,30.000000,357.990000,98.030000,355.990000,174.000000,342.010000,262.010000,318.990000,353.990000,290.010000,455.010000,272.000000,494.020000,225.000000,586.000000
373.940000,29.990000,357.950000,98.010000,355.970000,174.010000,342.000000,262.010000,318.990000,353.990000,290.000000,455.000000,271.990000,494.000000,225.010000,586.000000
373.950000,30.000000,357.970000,98.020000,355.970000,174.010000,341.990000,262.010000,318.980000,353.990000,289.980000,454.990000,271.990000,494.000000,225.000000,585.980000
373.950000,30.010000,357.970000,98.010000,355.970000,174.010000,341.980000,262.010000,318.970000,353.990000,289.970000,454.990000,271.970000,493.990000,224.990000,585.990000
373.950000,30.020000,357.920000,98.080000,355.960000,174.010000,341.980000,262.010000,318.960000,353.990000,289.980000,454.980000,271.980000,493.980000,225.000000,585.980000
373.940000,29.990000,357.950000,98.130000,355.960000,174.020000,341.980000,262.010000,318.970000,353.990000,289.980000,454.980000,271.980000,493.980000,225.000000,585.980000
373.940000,29.980000,357.950000,98.130000,355.960000,174.020000,341.990000,262.010000,318.970000,353.990000,289.980000,454.980000,271.970000,493.980000,224.990000,585.980000
373.930000,29.980000,357.950000,98.130000,355.960000,174.020000,341.980000,262.010000,318.970000,353.990000,289.980000,454.950000,271.980000,493.980000,224.990000,585.980000
373.930000,30.040000,357.960000,98.160000,355.960000,174.010000,341.980000,262.010000,318.970000,353.990000,289.970000,454.980000,271.980000,493.990000,224.990000,585.980000
373.940000,29.990000,357.970000,98.030000,355.960000,174.010000,341.980000,262.010000,318.970000,353.990000,289.970000,454.980000,271.980000,493.980000,224.990000,585.980000
373.940000,29.990000,357.970000,98.030000,355.960000,174.010000,341.970000,262.010000,318.970000,353.990000,289.980000,454.990000,271.980000,493.980000,224.990000,585.980000
373.940000,29.990000,357.970000,98.030000,355.960000,174.010000,341.970000,262.010000,318.970000,353.990000,289.980000,454.990000,271.980000,493.980000,224.990000,585.980000
373.920000,30.030000,357.890000,97.950000,355.940000,173.980000,341.950000,261.970000,318.950000,353.960000,289.950000,454.970000,271.960000,493.950000,224.970000,585.940000
