pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y
287.392609,701.646595,309.280270,628.585669,322.923072,556.473715
287.000000,702.000000,308.990000,629.000000,322.980000,556.030000
287.000000,702.000000,308.980000,628.980000,323.000000,556.010000
286.980000,701.990000,308.980000,628.980000,322.980000,556.020000
286.970000,701.980000,308.980000,628.990000,322.980000,556.010000
286.970000,701.980000,308.980000,628.960000,322.960000,556.020000
286.980000,701.990000,308.970000,628.970000,322.930000,555.990000
286.990000,701.990000,308.970000,628.970000,322.930000,555.980000
286.990000,701.990000,308.970000,628.970000,322.940000,555.980000
286.980000,701.990000,308.970000,628.970000,322.940000,555.990000
286.980000,701.990000,308.970000,628.970000,322.930000,555.970000
286.970000,701.990000,308.970000,628.980000,322.930000,555.970000
286.930000,702.010000,308.910000,629.000000,322.880000,556.040000
286.940000,702.000000,308.920000,629.000000,322.870000,556.030000
286.940000,702.010000,308.920000,629.000000,322.870000,556.020000
286.940000,702.000000,308.920000,629.000000,322.870000,556.020000
286.930000,702.000000,308.920000,629.000000,322.870000,556.020000
286.910000,701.990000,308.920000,629.010000,322.850000,556.070000
286.910000,701.990000,308.920000,629.010000,322.860000,556.060000
286.910000,701.990000,308.910000,629.000000,322.850000,556.060000
286.890000,701.990000,308.910000,629.010000,322.850000,556.060000
286.880000,701.990000,308.890000,629.000000,322.880000,556.060000
286.890000,701.990000,308.890000,629.000000,322.880000,556.080000
286.890000,701.990000,308.890000,629.000000,322.880000,556.080000
286.830000,701.980000,308.820000,628.980000,322.810000,556.040000
286.830000,701.970000,308.810000,628.980000,322.850000,556.030000
286.830000,701.980000,308.810000,628.980000,322.840000,556.030000
286.820000,701.980000,308.810000,628.990000,322.830000,556.030000
286.830000,701.970000,308.820000,628.990000,322.830000,556.030000
286.810000,701.960000,308.820000,628.990000,322.810000,556.040000
286.820000,701.960000,308.810000,628.990000,322.810000,556.030000
286.810000,701.960000,308.800000,629.010000,322.810000,556.030000
286.800000,701.960000,308.800000,628.980000,322.800000,556.040000
286.800000,701.960000,308.800000,628.980000,322.810000,556.040000
286.800000,701.960000,308.770000,628.970000,322.800000,556.040000
286.740000,701.960000,308.780000,628.970000,322.760000,556.050000
286.730000,701.950000,308.660000,628.970000,322.640000,556.060000
286.740000,701.940000,308.660000,628.970000,322.660000,556.070000
286.730000,701.950000,308.630000,628.980000,322.650000,556.080000
286.740000,701.940000,308.630000,628.980000,322.590000,556.130000
286.740000,701.950000,308.660000,628.960000,322.680000,556.080000
286.730000,701.940000,308.650000,628.960000,322.660000,556.090000
286.730000,701.940000,308.650000,628.960000,322.660000,556.080000
286.700000,701.940000,308.630000,628.970000,322.660000,556.030000
286.710000,701.940000,308.620000,628.970000,322.670000,556.050000
286.710000,701.940000,308.620000,628.970000,322.670000,556.050000
286.680000,701.930000,308.580000,628.960000,322.680000,556.040000
286.640000,701.920000,308.570000,628.960000,322.690000,556.050000
286.540000,701.870000,308.410000,628.870000,322.580000,556.020000
286.440000,701.830000,308.420000,628.870000,322.460000,555.980000
286.440000,701.830000,308.370000,628.860000,322.450000,555.950000
286.420000,701.830000,308.390000,628.870000,322.370000,556.000000
286.430000,701.830000,308.390000,628.870000,322.410000,556.000000
286.430000,701.840000,308.380000,628.840000,322.270000,555.950000
286.410000,701.830000,308.370000,628.840000,322.360000,555.980000
286.410000,701.830000,308.370000,628.830000,322.360000,556.010000
286.410000,701.820000,308.360000,628.830000,322.330000,556.000000
286.410000,701.810000,308.330000,628.810000,322.340000,556.000000
286.370000,701.780000,308.300000,628.790000,322.330000,556.010000
286.360000,701.780000,308.290000,628.770000,322.330000,556.000000
286.300000,701.630000,308.240000,628.680000,322.200000,555.970000
286.290000,701.620000,308.220000,628.670000,322.300000,555.960000
286.300000,701.620000,308.190000,628.640000,322.280000,555.970000
286.290000,701.590000,308.190000,628.640000,322.200000,555.910000
286.260000,701.580000,308.170000,628.590000,322.190000,555.950000
286.260000,701.570000,308.120000,628.500000,322.200000,555.950000
286.260000,701.550000,308.100000,628.450000,322.200000,555.950000
286.210000,701.380000,308.100000,628.430000,322.150000,555.930000
286.180000,701.270000,308.100000,628.430000,322.170000,555.930000
286.200000,701.140000,308.030000,628.260000,322.180000,555.930000
286.200000,701.140000,308.070000,628.260000,322.180000,555.930000
286.200000,701.130000,308.070000,628.260000,322.200000,555.880000
286.140000,701.100000,308.040000,628.200000,322.200000,555.770000
286.130000,701.100000,308.030000,628.210000,322.130000,555.820000
286.150000,701.090000,308.030000,628.180000,322.130000,555.800000
286.150000,701.090000,308.010000,628.170000,322.130000,555.800000
286.130000,701.080000,308.010000,628.160000,322.130000,555.800000
286.140000,701.080000,308.020000,628.160000,322.140000,555.790000
286.130000,701.020000,308.020000,628.150000,322.140000,555.800000
286.130000,701.000000,308.020000,628.130000,322.160000,555.710000
286.150000,700.980000,308.020000,628.130000,322.150000,555.350000
286.150000,700.960000,308.030000,628.040000,322.110000,555.150000
286.180000,700.760000,308.060000,627.910000,322.200000,555.140000
286.190000,700.710000,308.100000,627.900000,322.210000,555.140000
286.200000,700.720000,308.130000,627.860000,322.300000,555.340000
286.190000,700.710000,308.160000,627.860000,322.320000,555.220000
286.200000,700.700000,308.160000,627.850000,322.330000,555.220000
286.260000,700.680000,308.210000,627.730000,322.390000,555.140000
286.310000,700.650000,308.270000,627.650000,322.400000,555.150000
286.350000,700.470000,308.290000,627.640000,322.590000,555.170000
286.370000,700.350000,308.410000,627.700000,322.790000,555.170000
286.540000,700.300000,308.530000,627.680000,322.770000,555.090000
286.660000,700.310000,308.570000,627.600000,322.820000,555.100000
286.710000,700.290000,308.650000,627.510000,322.790000,555.080000
286.710000,700.270000,308.640000,627.400000,322.830000,555.070000
