pt1_cam1_X,pt1_cam1_Y
391.041516,276.541516
391,276.98
391,276.99
391,277.03
390.99,277.02
391.01,277.04
391.02,277.06
391.02,277.06
391.02,277.07
391.04,277.08
391.04,277.08
391.05,277.1
391.07,277.12
391.08,277.11
391.09,277.14
391.12,277.16
391.14,277.16
391.16,277.15
391.16,277.15
391.18,277.14
391.23,277.2
391.24,277.23
391.26,277.25
391.27,277.25
391.34,277.3
391.38,277.32
391.4,277.32
391.41,277.31
391.42,277.28
391.42,277.29
391.46,277.28
391.5,277.3
391.61,277.3
391.68,277.34
391.68,277.34
391.69,277.35
391.75,277.33
391.76,277.34
391.79,277.35
391.78,277.36
391.82,277.41
391.82,277.43
391.84,277.48
391.84,277.56
391.85,277.56
391.88,277.56
391.89,277.54
391.9,277.58
391.95,277.58
391.95,277.58
391.92,277.47
391.93,277.41
391.92,277.41
391.94,277.38
391.94,277.3
391.91,277.21
391.87,277.19
391.89,277.16
391.87,277.12
391.84,277.07
391.85,277.07
391.84,277.08
391.83,277.06
391.84,277.03
391.79,277.01
391.8,276.99
391.79,276.97
391.73,276.84
391.68,276.75
391.64,276.62
391.64,276.37
391.6,276.06
391.58,275.8
391.58,275.46
391.58,275.21
391.52,275
391.38,274.89
391.35,274.56
391.34,274.13
391.29,273.91
391.24,273.75
391.21,273.38
391.17,273.11
391.15,272.97
391.14,272.71
391.09,272.38
391.08,272.09
391.05,271.89
391.01,271.67
391,271.43
390.92,271.09
390.91,270.65
390.9,270.32
390.9,270.04
390.9,269.81
390.84,269.62
390.81,268.99
390.83,268.37
390.85,268.05
390.84,267.74
390.8,266.78
390.74,266.31
390.7,265.91
390.69,265.07
390.64,264.54
390.57,263.85
390.4,263.26
390.27,262.71
390.2,262.11
390.18,261.29
390.05,260.88
390.02,260.1
389.98,259.41
390,258.98
389.92,258.38
389.9,257.84
389.88,257.29
389.8,256.73
389.81,256.01
389.71,255.54
389.68,254.58
389.62,253.98
389.54,253.52
389.37,252.97
389.33,252.59
389.17,252.13
389.15,251.85
389.04,251.53
388.98,250.95
388.95,250.49
388.86,250.13
388.84,249.83
388.77,249.53
388.69,249.24
388.71,248.98
388.7,248.72
388.61,248.4
388.08,248.08
387.95,248
387.91,247.97
387.89,247.95
387.85,247.96
387.74,247.96
387.72,247.86
387.64,247.7
387.63,247.44
387.59,247.23
387.55,247.14
387.46,246.98
387.31,246.82
387.18,246.56
387.18,246.21
387.13,245.76
387.14,245.39
387.06,245.13
386.98,244.87
386.93,244.66
386.89,244.39
386.95,243.9
386.92,243.49
386.78,243.07
386.76,242.76
386.75,242.46
386.76,241.86
386.69,241.41
386.67,241.05
386.65,240.41
386.58,240.02
386.47,239.78
386.33,239.49
386.29,238.79
386.32,238.31
386.27,237.97
386.21,237.84
386.1,237.51
386.05,236.95
386.08,236.46
386.11,236.08
386.06,235.7
386.13,234.8
386.12,234.21
386.09,233.89
386,233.47
385.84,233.04
385.49,232.63
385.15,232.41
385.1,232.29
384.98,232.09
384.88,231.77
384.85,231.49
384.84,231.34
384.76,231.22
384.66,231.12
384.55,230.95
384.39,230.83
384.35,230.68
384.32,230.57
384.26,230.46
384.28,230.1
384.39,229.67
384.36,229.36
384.3,229.28
384.26,229.12
384.18,228.95
384.14,228.73
384.15,228.47
384.19,227.91
384.22,227.57
384.13,227.26
384.08,227.15
383.96,226.88
383.92,226.65
383.87,226.52
383.85,226.17
383.85,225.76
383.91,225.25
383.82,224.93
383.78,224.59
383.86,224.11
383.82,223.81
383.7,223.58
383.72,223.26
383.69,223
383.72,222.49
383.73,222.3
383.64,222.03
383.43,222
383.23,221.87
383.17,221.79
383.07,221.66
383.07,221.55
383.01,221.38
382.9,221.2
382.93,221.03
382.97,220.87
382.96,220.81
382.99,220.76
382.95,220.66
383,220.58
