pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y
282.994666,95.414331,274.249807,176.373200,262.107005,287.515617,231.668316,400.555977,167.005334,529.188111,118.281041,589.606235
278.096723,94.567416,274.198779,176.424228,262.150000,288.000000,232.010000,401.020000,167.000000,529.000000,118.000000,590.000000
277.980000,95.050000,273.990000,175.930000,262.000000,288.000000,231.990000,401.000000,167.000000,528.990000,117.990000,590.010000
283.943638,96.516387,273.950000,176.060000,261.970000,287.960000,232.010000,401.000000,167.000000,529.000000,118.000000,590.000000
280.045694,96.516387,274.160000,175.980000,262.010000,288.040000,232.000000,400.990000,167.010000,529.000000,118.000000,590.000000
280.230000,97.060000,274.020000,175.960000,261.950000,287.990000,232.000000,401.000000,167.000000,529.000000,118.000000,590.000000
279.750000,96.910000,273.900000,176.030000,261.950000,288.010000,232.000000,401.000000,167.000000,529.000000,118.000000,590.000000
280.030000,97.030000,273.870000,176.060000,261.950000,288.010000,232.000000,401.000000,167.000000,529.000000,118.000000,590.000000
280.020000,97.030000,273.880000,176.070000,261.950000,288.010000,232.010000,401.000000,167.020000,529.020000,118.030000,590.030000
280.020000,97.030000,273.880000,176.070000,261.970000,288.010000,232.020000,401.000000,167.030000,529.010000,118.050000,590.030000
280.010000,97.030000,273.880000,176.060000,261.950000,288.010000,232.020000,401.000000,167.040000,529.020000,118.070000,590.030000
280.010000,97.040000,273.880000,176.060000,261.950000,288.020000,232.020000,401.000000,167.050000,529.030000,118.090000,590.040000
279.980000,97.010000,273.920000,176.010000,262.010000,288.090000,232.040000,400.990000,167.080000,529.050000,118.130000,590.030000
280.040000,97.020000,273.920000,175.980000,261.960000,288.050000,232.040000,400.990000,167.080000,529.050000,118.120000,590.030000
279.990000,97.020000,273.830000,176.010000,261.980000,288.000000,232.040000,400.990000,167.070000,529.040000,118.100000,590.030000
279.990000,97.040000,273.840000,176.000000,262.110000,288.030000,232.040000,401.000000,167.070000,529.040000,118.090000,590.030000
279.990000,97.050000,273.840000,176.030000,262.110000,288.030000,232.040000,401.000000,167.060000,529.040000,118.090000,590.030000
280.010000,97.050000,273.820000,176.030000,262.090000,288.010000,232.040000,401.000000,167.070000,529.040000,118.090000,590.020000
280.010000,97.040000,273.810000,176.110000,262.090000,288.020000,232.030000,401.000000,167.070000,529.050000,118.100000,590.030000
280.010000,97.020000,273.870000,176.030000,262.080000,288.020000,232.040000,401.000000,167.070000,529.050000,118.100000,590.020000
279.990000,97.070000,273.830000,176.010000,262.070000,288.040000,232.040000,401.000000,167.070000,529.040000,118.100000,590.030000
280.000000,97.050000,273.850000,175.990000,261.940000,288.030000,232.030000,401.000000,167.070000,529.040000,118.090000,590.030000
280.030000,97.000000,273.810000,176.070000,261.930000,288.030000,232.020000,401.000000,167.060000,529.050000,118.090000,590.030000
280.020000,97.010000,273.830000,176.000000,261.890000,288.020000,232.020000,401.000000,167.060000,529.040000,118.100000,590.020000
280.010000,96.940000,273.840000,176.030000,262.040000,288.080000,232.010000,400.980000,167.060000,529.030000,118.110000,590.050000
279.940000,97.010000,273.810000,176.000000,262.010000,288.050000,232.020000,400.980000,167.060000,529.020000,118.110000,590.050000
280.000000,96.960000,273.790000,176.030000,262.030000,288.060000,232.020000,400.970000,167.060000,529.030000,118.120000,590.050000
279.990000,96.970000,273.790000,176.030000,261.960000,288.060000,232.020000,400.970000,167.060000,529.030000,118.130000,590.050000
279.940000,97.020000,273.810000,176.010000,261.980000,288.070000,232.030000,400.970000,167.080000,529.030000,118.140000,590.040000
280.010000,97.010000,273.800000,176.000000,261.980000,288.060000,232.030000,400.970000,167.090000,529.040000,118.190000,590.040000
279.970000,97.000000,273.810000,176.000000,261.960000,288.060000,232.050000,400.960000,167.130000,529.040000,118.240000,590.040000
279.970000,97.000000,273.840000,175.980000,261.940000,288.050000,232.060000,400.960000,167.140000,529.040000,118.290000,590.030000
279.980000,97.000000,273.790000,176.040000,261.970000,288.050000,232.070000,400.960000,167.170000,529.050000,118.340000,590.030000
279.980000,97.020000,273.820000,176.020000,261.990000,288.030000,232.090000,400.930000,167.190000,529.050000,118.400000,590.020000
279.990000,97.030000,273.830000,176.020000,261.990000,288.020000,232.090000,400.930000,167.200000,529.050000,118.460000,590.010000
280.020000,97.040000,273.810000,176.030000,262.020000,288.030000,232.090000,400.930000,167.230000,529.040000,118.570000,590.000000
279.980000,96.950000,273.840000,176.050000,262.130000,287.920000,232.110000,400.880000,167.340000,529.040000,118.730000,589.980000
279.940000,96.980000,273.860000,176.030000,262.090000,288.000000,232.110000,400.870000,167.350000,529.040000,118.750000,589.980000
279.960000,97.000000,273.900000,176.020000,262.110000,288.020000,232.110000,400.860000,167.360000,529.040000,118.790000,589.970000
279.950000,97.000000,273.840000,176.060000,262.100000,288.030000,232.130000,400.840000,167.480000,529.020000,118.890000,589.990000
279.980000,97.010000,273.800000,176.050000,262.070000,288.030000,232.130000,400.810000,167.610000,528.970000,119.040000,589.990000
279.960000,97.010000,273.780000,176.050000,262.050000,288.020000,232.130000,400.760000,167.670000,528.960000,119.080000,589.990000
279.970000,97.020000,273.780000,176.060000,262.060000,288.010000,232.170000,400.700000,167.710000,528.940000,119.110000,589.980000
279.960000,97.030000,273.790000,176.050000,262.080000,288.010000,232.190000,400.600000,167.770000,528.910000,119.160000,589.980000
279.950000,97.040000,273.780000,176.080000,262.060000,288.010000,232.190000,400.580000,167.820000,528.900000,119.300000,589.990000
279.950000,97.040000,273.780000,176.080000,262.070000,288.020000,232.210000,400.530000,167.870000,528.910000,119.360000,589.970000
279.950000,97.050000,273.770000,176.070000,262.060000,288.010000,232.200000,400.520000,167.890000,528.900000,119.400000,589.960000
