pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y
285.892609,104.312274,278.096723,180.322172,264.402892,288.862532,231.321401,406.402892,182.597108,499.953535
286.000000,103.970000,278.010000,179.990000,264.010000,289.000000,231.000000,406.000000,183.000000,500.000000
286.000000,103.990000,278.020000,179.960000,264.000000,289.000000,231.000000,406.000000,183.000000,500.000000
286.020000,103.970000,277.960000,180.010000,264.000000,289.000000,231.000000,406.000000,183.000000,500.010000
286.000000,104.000000,278.050000,180.000000,264.010000,289.000000,231.000000,406.000000,183.000000,500.010000
286.000000,104.010000,278.070000,179.980000,264.000000,288.990000,231.000000,406.000000,183.010000,500.010000
285.970000,103.990000,278.030000,179.990000,264.000000,289.000000,231.000000,406.000000,183.000000,500.010000
286.000000,104.010000,278.000000,180.010000,264.000000,289.000000,231.000000,406.000000,183.010000,500.010000
285.980000,103.990000,278.000000,180.020000,264.000000,289.000000,231.000000,406.000000,183.020000,500.010000
285.980000,103.980000,278.000000,180.020000,264.000000,289.000000,231.010000,406.000000,183.030000,500.020000
285.980000,104.000000,277.990000,180.010000,264.000000,289.000000,231.010000,406.000000,183.050000,500.020000
285.990000,104.030000,277.990000,180.010000,264.000000,288.990000,231.020000,406.000000,183.060000,500.020000
286.020000,104.000000,277.950000,180.000000,264.010000,288.970000,231.050000,405.990000,183.100000,500.030000
286.040000,104.000000,277.960000,179.980000,264.010000,288.980000,231.050000,406.000000,183.090000,500.030000
286.030000,103.990000,277.980000,179.990000,264.010000,288.970000,231.040000,406.000000,183.090000,500.030000
286.020000,104.000000,277.960000,179.980000,264.010000,288.970000,231.040000,406.000000,183.080000,500.030000
286.020000,104.030000,277.960000,180.010000,264.010000,288.970000,231.040000,406.000000,183.080000,500.030000
286.020000,104.020000,277.910000,180.010000,264.010000,288.970000,231.040000,406.000000,183.080000,500.030000
286.030000,104.020000,277.900000,180.020000,264.010000,288.970000,231.040000,406.000000,183.080000,500.030000
286.010000,104.010000,277.990000,180.010000,264.010000,288.970000,231.040000,405.990000,183.080000,500.030000
285.990000,104.010000,277.970000,180.010000,264.010000,288.970000,231.040000,405.990000,183.080000,500.030000
285.990000,103.990000,277.970000,180.000000,264.000000,288.970000,231.030000,405.990000,183.080000,500.030000
286.010000,103.990000,277.950000,180.020000,264.000000,288.970000,231.030000,405.990000,183.070000,500.030000
286.010000,104.000000,277.980000,180.000000,264.000000,288.970000,231.030000,405.990000,183.070000,500.030000
286.000000,104.020000,277.960000,180.020000,264.000000,288.960000,231.020000,405.980000,183.070000,500.020000
285.960000,104.040000,277.960000,180.000000,264.000000,288.960000,231.020000,405.980000,183.070000,500.020000
286.000000,104.020000,277.950000,180.040000,264.000000,288.960000,231.030000,405.980000,183.070000,500.020000
