pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y
371.647365,199.811889,356.055592,285.566645,324.872044,367.423458,289.790553,435.637468,225.474486,538.932970,186.495051,589.606235,155.862532,663.667160
372.000000,200.000000,355.990000,285.990000,324.990000,367.000000,290.000000,436.000000,225.020000,539.000000,186.000000,590.020000,156.000000,664.020000
372.000000,200.000000,356.000000,285.990000,325.010000,366.980000,290.020000,435.990000,225.030000,539.020000,186.020000,590.010000,156.000000,664.030000
372.000000,200.000000,356.010000,285.990000,325.020000,366.980000,290.030000,436.000000,225.040000,539.010000,186.050000,590.030000,156.020000,664.030000
372.000000,200.000000,356.010000,285.990000,325.020000,366.980000,290.050000,436.000000,225.050000,539.030000,186.070000,590.040000,156.020000,664.030000
372.010000,200.000000,356.010000,285.990000,325.020000,366.980000,290.060000,436.000000,225.100000,539.020000,186.100000,590.050000,156.040000,664.030000
372.010000,199.990000,356.010000,285.990000,325.030000,366.990000,290.070000,436.000000,225.110000,539.050000,186.120000,590.060000,156.040000,664.050000
372.000000,200.000000,356.010000,285.990000,325.040000,366.990000,290.090000,436.000000,225.120000,539.060000,186.140000,590.070000,156.060000,664.040000
372.010000,200.000000,356.020000,285.980000,325.050000,366.990000,290.090000,436.010000,225.160000,539.070000,186.180000,590.070000,156.070000,664.050000
372.010000,200.000000,356.020000,285.990000,325.080000,366.990000,290.110000,436.010000,225.180000,539.090000,186.200000,590.070000,156.090000,664.060000
372.020000,199.990000,356.030000,285.980000,325.080000,366.990000,290.130000,436.010000,225.250000,539.090000,186.290000,590.090000,156.100000,664.080000
372.020000,199.990000,356.040000,285.980000,325.110000,366.990000,290.150000,436.020000,225.270000,539.110000,186.380000,590.080000,156.140000,664.090000
372.020000,199.990000,356.030000,285.980000,325.140000,366.990000,290.180000,436.020000,225.310000,539.120000,186.510000,590.050000,156.200000,664.100000
372.020000,199.990000,356.030000,285.980000,325.150000,366.980000,290.200000,436.020000,225.360000,539.130000,186.720000,589.970000,156.230000,664.100000
372.010000,199.990000,356.040000,285.980000,325.150000,366.980000,290.220000,436.020000,225.420000,539.100000,186.760000,589.980000,156.280000,664.090000
372.020000,199.990000,356.040000,285.970000,325.160000,366.980000,290.220000,436.020000,225.420000,539.090000,186.790000,589.970000,156.330000,664.120000
372.020000,199.980000,356.040000,285.970000,325.150000,366.990000,290.240000,436.020000,225.480000,539.090000,186.820000,589.980000,156.350000,664.120000
372.020000,199.980000,356.040000,285.970000,325.160000,366.980000,290.250000,436.020000,225.790000,538.970000,186.820000,589.990000,156.360000,664.130000
372.010000,199.990000,356.050000,285.980000,325.170000,366.980000,290.270000,436.020000,225.810000,538.960000,186.830000,589.990000,156.430000,664.110000
372.020000,199.980000,356.040000,285.970000,325.160000,366.990000,290.270000,436.020000,225.820000,538.970000,186.840000,590.000000,156.420000,664.120000
372.010000,199.980000,356.040000,285.970000,325.190000,366.970000,290.270000,436.020000,225.830000,538.970000,186.840000,590.000000,156.460000,664.120000
372.010000,199.980000,356.050000,285.980000,325.180000,366.980000,290.300000,436.020000,225.850000,538.970000,186.850000,590.000000,156.520000,664.120000
372.010000,199.980000,356.050000,285.980000,325.180000,366.980000,290.300000,436.020000,225.860000,538.990000,186.860000,590.000000,156.840000,664.100000
372.010000,199.980000,356.040000,285.970000,325.160000,366.990000,290.290000,436.020000,225.850000,538.980000,186.870000,589.990000,156.850000,664.100000
372.010000,199.980000,356.050000,285.960000,325.170000,366.980000,290.270000,436.020000,225.830000,538.980000,186.890000,590.000000,156.890000,664.080000
372.010000,199.970000,356.040000,285.960000,325.170000,366.980000,290.260000,436.010000,225.840000,538.970000,186.880000,590.010000,156.880000,664.090000
372.010000,199.980000,356.030000,285.970000,325.160000,366.970000,290.260000,436.010000,225.830000,538.980000,186.880000,590.010000,156.890000,664.100000
372.010000,199.990000,356.040000,285.970000,325.140000,366.980000,290.240000,436.020000,225.820000,538.980000,186.900000,590.010000,156.890000,664.110000
372.010000,199.980000,356.040000,285.970000,325.150000,366.980000,290.240000,436.010000,225.830000,538.980000,186.890000,589.990000,156.900000,664.110000
372.010000,199.980000,356.030000,285.970000,325.130000,366.990000,290.230000,436.020000,225.830000,538.980000,186.890000,590.000000,156.910000,664.100000
372.010000,199.980000,356.030000,285.970000,325.150000,366.980000,290.230000,436.020000,225.850000,538.970000,186.900000,590.000000,156.930000,664.090000
372.020000,199.980000,356.020000,285.960000,325.140000,366.980000,290.240000,436.020000,225.840000,538.960000,186.910000,590.010000,156.950000,664.100000
372.010000,199.980000,356.030000,285.970000,325.160000,366.980000,290.240000,436.020000,225.870000,538.960000,186.920000,590.010000,156.960000,664.120000
372.000000,199.980000,356.040000,285.960000,325.160000,366.990000,290.250000,436.020000,225.900000,538.970000,186.940000,590.020000,156.960000,664.120000
372.010000,199.980000,356.030000,285.970000,325.170000,366.980000,290.270000,436.020000,225.910000,539.000000,186.950000,590.050000,156.960000,664.130000
372.010000,199.980000,356.040000,285.970000,325.190000,366.980000,290.310000,436.010000,225.910000,539.000000,186.980000,590.060000,156.970000,664.130000
372.010000,199.970000,356.050000,285.960000,325.200000,366.980000,290.350000,436.020000,226.000000,539.040000,187.020000,590.080000,156.990000,664.160000
372.010000,199.970000,356.060000,285.960000,325.220000,366.990000,290.390000,436.020000,226.000000,539.050000,187.010000,590.080000,157.000000,664.140000
372.020000,199.970000,356.070000,285.960000,325.270000,366.980000,290.460000,436.020000,226.020000,539.060000,187.040000,590.100000,157.010000,664.160000
372.030000,199.970000,356.070000,285.960000,325.290000,366.980000,290.710000,436.000000,226.040000,539.070000,187.060000,590.120000,157.020000,664.180000
372.030000,199.960000,356.080000,285.960000,325.320000,366.980000,290.780000,436.000000,226.090000,539.110000,187.100000,590.160000,157.040000,664.150000
372.040000,199.960000,356.100000,285.950000,325.380000,366.970000,290.850000,436.010000,226.140000,539.130000,187.170000,590.170000,157.070000,664.190000
372.050000,199.960000,356.120000,285.960000,325.440000,366.970000,290.900000,436.010000,226.230000,539.150000,187.250000,590.210000,157.080000,664.200000
372.060000,199.960000,356.130000,285.950000,325.530000,366.970000,290.970000,436.020000,226.280000,539.150000,187.370000,590.200000,157.140000,664.200000
372.070000,199.960000,356.150000,285.940000,325.730000,366.960000,291.020000,436.030000,226.470000,539.200000,187.570000,590.130000,157.200000,664.220000
372.080000,199.950000,356.180000,285.940000,325.770000,366.970000,291.070000,436.040000,226.840000,539.060000,187.810000,590.070000,157.300000,664.260000
