pt1_cam1_X,pt1_cam1_Y
301.169290,252.507869
300.920000,253.020000
300.800000,253.010000
300.710000,253.030000
300.640000,253.090000
300.560000,253.150000
300.120000,253.180000
300.020000,253.190000
299.920000,253.200000
299.780000,253.230000
299.680000,253.260000
299.600000,253.300000
299.470000,253.290000
299.150000,253.270000
299.130000,253.270000
299.110000,253.290000
299.110000,253.310000
299.090000,253.310000
299.060000,253.300000
299.020000,253.300000
298.990000,253.300000
298.970000,253.310000
298.940000,253.310000
298.920000,253.310000
298.860000,253.320000
298.830000,253.320000
298.800000,253.330000
298.750000,253.320000
298.710000,253.340000
298.670000,253.350000
298.640000,253.370000
298.630000,253.360000
298.610000,253.360000
298.590000,253.370000
298.590000,253.370000
298.580000,253.380000
298.570000,253.370000
298.560000,253.360000
298.550000,253.350000
298.540000,253.330000
298.540000,253.320000
298.550000,253.300000
298.570000,253.280000
298.580000,253.260000
298.590000,253.250000
298.600000,253.250000
298.600000,253.250000
298.610000,253.250000
298.630000,253.240000
298.640000,253.250000
298.640000,253.250000
298.620000,253.260000
298.580000,253.270000
298.540000,253.280000
298.490000,253.290000
298.110000,253.280000
298.050000,253.280000
297.980000,253.290000
297.900000,253.320000
297.760000,253.360000
297.600000,253.390000
297.130000,253.360000
297.020000,253.370000
296.930000,253.410000
296.810000,253.460000
296.720000,254.150000
296.600000,254.870000
296.170000,255.450000
296.040000,255.490000
295.900000,255.500000
295.800000,255.550000
295.720000,255.580000
295.620000,255.580000
295.570000,255.560000
295.520000,255.560000
295.140000,255.570000
295.060000,255.600000
295.010000,255.620000
294.960000,255.600000
294.930000,255.610000
294.920000,255.610000
294.910000,255.620000
294.930000,255.620000
294.950000,255.600000
295.000000,255.570000
295.010000,255.550000
295.020000,255.530000
295.030000,255.510000
295.000000,254.880000
294.960000,254.190000
294.950000,254.200000
294.930000,254.200000
294.870000,254.220000
294.800000,254.240000
294.720000,254.260000
294.600000,254.300000
294.150000,254.320000
294.070000,254.330000
293.910000,254.330000
293.790000,254.350000
293.550000,254.400000
293.030000,254.430000
292.810000,254.490000
292.620000,255.130000
292.120000,255.820000
291.910000,255.850000
291.700000,255.910000
291.160000,255.930000
291.030000,255.920000
290.960000,255.910000
290.910000,255.900000
290.850000,255.890000
