pt1_cam1_X,pt1_cam1_Y
544.398917,180.066787
543.980000,180.030000
543.990000,180.070000
543.960000,180.100000
543.970000,180.160000
543.970000,180.170000
544.000000,180.210000
543.980000,180.220000
543.980000,180.240000
543.980000,180.240000
543.990000,180.240000
544.000000,180.260000
544.030000,180.260000
544.070000,180.270000
544.090000,180.310000
544.160000,180.300000
544.230000,180.350000
544.240000,180.350000
544.260000,180.330000
544.350000,180.310000
544.370000,180.300000
544.380000,180.260000
544.370000,180.210000
544.360000,180.190000
544.420000,180.140000
544.460000,180.120000
544.610000,180.110000
544.620000,180.110000
544.640000,180.100000
544.670000,180.100000
544.670000,180.100000
544.690000,180.100000
544.670000,180.090000
544.650000,180.110000
544.640000,180.120000
544.650000,180.140000
544.570000,180.120000
544.530000,180.160000
544.370000,180.200000
544.370000,180.230000
544.380000,180.300000
544.420000,180.340000
544.410000,180.370000
544.420000,180.340000
544.440000,180.300000
544.410000,180.310000
544.340000,180.340000
544.300000,180.290000
544.330000,180.360000
544.280000,180.320000
544.290000,180.330000
544.330000,180.300000
544.400000,180.290000
544.450000,180.210000
544.650000,180.150000
544.640000,180.210000
544.690000,180.220000
544.710000,180.290000
544.710000,180.280000
544.730000,180.270000
544.740000,180.470000
544.740000,180.680000
544.710000,180.660000
544.700000,180.690000
544.730000,180.680000
544.730000,180.600000
544.730000,180.560000
544.760000,180.620000
544.770000,180.490000
544.850000,180.190000
544.890000,180.120000
544.880000,180.070000
545.000000,179.910000
545.050000,179.860000
545.090000,179.860000
545.160000,179.820000
545.270000,179.730000
545.440000,179.570000
545.780000,179.300000
545.790000,179.120000
545.820000,179.100000
545.880000,179.090000
545.890000,179.100000
545.860000,179.120000
545.860000,179.200000
545.840000,179.230000
545.690000,179.310000
545.480000,179.480000
545.220000,179.810000
545.200000,179.850000
545.160000,179.910000
545.060000,179.890000
545.050000,179.870000
545.040000,179.890000
545.050000,179.860000
545.050000,179.870000
545.010000,179.860000
545.000000,179.770000
545.080000,179.690000
545.090000,179.720000
545.170000,179.570000
545.190000,179.490000
545.160000,179.530000
545.210000,179.510000
545.250000,179.440000
545.260000,179.480000
545.330000,179.450000
545.320000,179.310000
545.400000,179.130000
545.340000,179.150000
545.390000,179.190000
545.400000,179.200000
545.330000,179.260000
545.160000,179.430000
545.140000,179.610000
545.170000,179.570000
545.130000,179.550000
545.110000,179.510000
545.150000,179.380000
545.040000,179.240000
545.090000,179.360000
545.100000,179.230000
545.150000,179.270000
545.130000,179.290000
545.150000,179.300000
545.270000,179.190000
545.270000,179.260000
545.200000,179.250000
545.230000,179.230000
545.230000,179.100000
545.290000,179.240000
545.440000,178.930000
545.920000,178.570000
545.980000,178.390000
545.960000,178.360000
545.970000,178.330000
545.950000,178.200000
546.010000,178.220000
546.080000,178.150000
546.080000,178.090000
546.090000,178.020000
546.090000,177.920000
546.160000,177.860000
546.290000,177.800000
546.310000,177.790000
546.260000,177.830000
546.210000,177.890000
546.170000,177.950000
546.210000,178.050000
546.200000,178.040000
546.080000,178.310000
546.060000,178.420000
545.930000,178.630000
545.820000,178.670000
545.670000,178.720000
545.580000,178.720000
545.300000,178.970000
545.400000,178.950000
545.560000,178.800000
545.880000,178.680000
545.920000,178.610000
546.030000,178.420000
546.300000,178.160000
546.710000,177.920000
546.740000,177.860000
546.630000,177.790000
546.790000,177.690000
546.830000,177.660000
546.870000,177.630000
546.780000,177.690000
546.650000,177.780000
546.640000,177.960000
546.440000,178.160000
546.120000,178.250000
546.060000,178.310000
546.000000,178.380000
545.980000,178.410000
545.900000,178.330000
545.860000,178.280000
545.970000,178.100000
546.270000,177.940000
546.670000,177.770000
546.760000,177.660000
546.840000,177.610000
546.930000,177.330000
546.970000,177.140000
546.990000,176.960000
547.030000,176.910000
547.010000,176.930000
546.990000,176.840000
547.110000,176.650000
547.070000,176.590000
547.090000,176.710000
547.070000,176.680000
547.010000,176.710000
547.010000,176.730000
546.890000,176.890000
546.830000,177.030000
546.620000,177.130000
546.270000,177.300000
546.210000,177.270000
546.180000,177.160000
546.170000,177.150000
546.400000,176.970000
546.490000,177.000000
546.700000,176.880000
546.720000,176.900000
546.750000,176.900000
546.830000,176.800000
546.820000,176.860000
546.680000,176.960000
546.760000,176.940000
546.860000,176.880000
546.840000,176.860000
546.830000,176.870000
546.770000,176.930000
546.760000,176.900000
546.700000,176.980000
546.680000,176.950000
546.710000,176.940000
546.710000,176.910000
546.660000,176.960000
546.590000,176.940000
546.530000,176.920000
546.300000,176.890000
546.360000,176.910000
546.420000,176.800000
546.630000,176.590000
546.880000,176.250000
546.980000,176.120000
546.940000,176.020000
547.070000,175.710000
547.260000,175.150000
547.860000,174.540000
548.400000,174.100000
549.240000,173.540000
550.260000,173.030000
551.500000,172.310000
553.140000,171.390000
555.350000,170.860000
557.440000,171.550000
559.340000,172.730000
