pt1_cam1_X,pt1_cam1_Y
527.503610,177.467509
527.503610,177.467509
527.503610,177.467509
527.503610,177.467509
527.503610,177.467509
527.503610,176.167870
531.402527,176.167870
531.402527,177.467509
531.402527,174.868231
539.200361,190.463899
540.500000,196.962094
537.900722,194.362816
537.900722,190.463899
535.301444,194.362816
536.601083,195.662455
531.402527,190.463899
531.402527,198.261733
531.402527,198.261733
531.402527,198.261733
526.203971,185.265343
528.803249,191.763538
528.803249,191.763538
524.904332,195.662455
524.904332,195.662455
526.203971,195.662455
526.203971,195.662455
526.203971,194.362816
526.203971,194.362816
526.203971,194.362816
526.203971,194.362816
526.203971,194.362816
526.203971,194.362816
526.203971,194.362816
526.203971,194.362816
526.203971,193.063177
527.503610,193.063177
527.503610,193.063177
527.503610,193.063177
527.503610,193.063177
527.503610,193.063177
527.503610,193.063177
527.503610,193.063177
527.503610,193.063177
527.503610,193.063177
527.503610,190.463899
528.803249,195.662455
527.503610,194.362816
526.203971,193.063177
523.604693,189.164260
523.604693,196.962094
524.904332,195.662455
524.904332,195.662455
526.203971,181.366426
526.203971,185.265343
526.203971,185.265343
527.503610,186.564982
519.705776,190.463899
519.705776,191.763538
526.203971,187.864621
524.904332,191.763538
526.203971,189.164260
526.203971,186.564982
524.904332,194.362816
527.503610,187.864621
522.305054,198.261733
526.203971,190.463899
526.203971,190.463899
526.203971,190.463899
526.203971,190.463899
526.203971,189.164260
526.203971,189.164260
526.203971,189.164260
526.203971,187.864621
526.010000,187.930000
525.990000,188.000000
527.503610,186.564982
527.503610,181.366426
527.503610,183.965704
528.010000,184.170000
528.130000,184.020000
527.503610,178.767148
527.970000,178.980000
528.060000,178.770000
528.010000,178.900000
528.180000,178.930000
527.890000,178.920000
528.030000,179.070000
527.970000,179.100000
528.000000,179.000000
528.660000,178.950000
528.720000,179.030000
529.300000,179.010000
529.360000,178.970000
529.190000,179.110000
528.803249,186.564982
534.001805,181.366426
530.102888,180.066787
530.102888,180.066787
530.000000,180.000000
530.150000,179.880000
529.920000,180.130000
530.080000,179.860000
529.920000,180.150000
530.120000,180.590000
529.980000,181.320000
529.840000,181.670000
529.550000,182.010000
529.890000,181.740000
529.240000,182.820000
526.203971,181.366426
527.503610,173.568592
526.203971,176.167870
525.760000,175.820000
525.970000,175.970000
526.000000,176.030000
526.100000,176.130000
526.120000,176.030000
526.060000,175.970000
525.640000,175.980000
534.001805,189.164260
531.402527,182.666065
531.350000,183.140000
530.850000,183.220000
530.960000,182.980000
530.940000,182.910000
531.000000,183.000000
531.000000,183.000000
530.990000,183.010000
531.010000,183.000000
531.000000,183.000000
531.000000,183.000000
