pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y
180.648136,583.759319,219.627571,488.259705,248.862147,408.351864,258.607005,336.239910,262.504949,262.178984,291.739525,168.628341
180.930000,584.020000,219.970000,488.030000,249.010000,408.000000,259.010000,336.020000,263.010000,262.020000,292.050000,169.000000
180.850000,584.050000,219.940000,488.050000,249.030000,408.010000,259.030000,336.030000,263.020000,262.030000,292.040000,169.010000
180.770000,584.090000,219.910000,488.080000,249.040000,408.020000,259.050000,336.030000,263.030000,262.030000,292.040000,169.010000
180.650000,584.110000,219.880000,488.120000,249.050000,408.030000,259.100000,336.050000,263.040000,262.040000,292.050000,169.010000
180.610000,584.130000,219.870000,488.130000,249.060000,408.030000,259.100000,336.040000,263.040000,262.040000,292.060000,169.020000
180.430000,584.160000,219.850000,488.140000,249.060000,408.030000,259.110000,336.050000,263.040000,262.040000,292.060000,169.020000
180.240000,584.170000,219.760000,488.190000,249.060000,408.030000,259.110000,336.040000,263.040000,262.040000,292.060000,169.020000
180.210000,584.190000,219.650000,488.270000,249.060000,408.040000,259.110000,336.040000,263.040000,262.040000,292.060000,169.040000
180.100000,584.330000,219.590000,488.380000,249.050000,408.040000,259.110000,336.070000,263.050000,262.050000,292.060000,169.040000
180.060000,584.420000,219.440000,488.430000,249.050000,408.060000,259.120000,336.070000,263.070000,262.070000,292.060000,169.040000
179.970000,584.730000,219.410000,488.540000,249.060000,408.090000,259.150000,336.120000,263.090000,262.080000,292.060000,169.040000
179.830000,584.780000,219.270000,488.730000,249.090000,408.170000,259.270000,336.170000,263.190000,262.150000,292.090000,169.110000
179.810000,584.790000,219.250000,488.740000,249.090000,408.170000,259.270000,336.170000,263.180000,262.150000,292.160000,169.110000
179.680000,584.850000,219.190000,488.820000,249.090000,408.170000,259.280000,336.180000,263.190000,262.150000,292.150000,169.110000
179.630000,584.930000,219.130000,488.900000,249.090000,408.180000,259.280000,336.190000,263.190000,262.150000,292.150000,169.110000
179.480000,584.970000,219.050000,488.950000,249.080000,408.210000,259.300000,336.210000,263.190000,262.160000,292.150000,169.110000
179.380000,585.030000,219.000000,489.000000,249.080000,408.230000,259.330000,336.240000,263.200000,262.170000,292.150000,169.110000
179.340000,585.050000,218.950000,489.030000,249.080000,408.240000,259.320000,336.240000,263.200000,262.170000,292.140000,169.110000
179.240000,585.080000,218.900000,489.070000,249.060000,408.290000,259.330000,336.260000,263.230000,262.180000,292.140000,169.120000
179.170000,585.100000,218.790000,489.120000,249.060000,408.350000,259.350000,336.320000,263.260000,262.210000,292.130000,169.120000
179.070000,585.110000,218.730000,489.140000,249.050000,408.350000,259.340000,336.390000,263.270000,262.220000,292.130000,169.120000
179.000000,585.140000,218.650000,489.220000,249.040000,408.380000,259.370000,336.400000,263.290000,262.230000,292.130000,169.120000
178.920000,585.170000,218.520000,489.260000,249.030000,408.390000,259.410000,336.480000,263.300000,262.240000,292.130000,169.130000
178.790000,585.250000,218.330000,489.350000,249.010000,408.530000,259.500000,336.620000,263.430000,262.330000,292.270000,169.220000
178.790000,585.250000,218.330000,489.350000,249.000000,408.670000,259.540000,336.620000,263.600000,262.350000,292.370000,169.230000
178.780000,585.270000,218.280000,489.380000,249.000000,408.690000,259.540000,336.650000,263.610000,262.360000,292.300000,169.200000
178.570000,585.340000,218.210000,489.430000,249.000000,408.700000,259.540000,336.670000,263.610000,262.360000,292.290000,169.210000
178.440000,585.400000,218.140000,489.530000,248.990000,408.710000,259.540000,336.670000,263.650000,262.380000,292.270000,169.200000
178.410000,585.440000,218.090000,489.640000,248.990000,408.730000,259.560000,336.680000,263.650000,262.380000,292.270000,169.200000
178.360000,585.720000,217.990000,489.820000,248.960000,408.820000,259.560000,336.890000,263.650000,262.390000,292.270000,169.200000
178.280000,585.910000,217.880000,489.890000,248.950000,408.880000,259.560000,336.910000,263.660000,262.400000,292.270000,169.200000
178.280000,585.930000,217.880000,489.950000,248.940000,408.960000,259.570000,336.980000,263.760000,262.560000,292.280000,169.210000
178.110000,586.010000,217.790000,490.030000,248.940000,408.980000,259.570000,337.000000,263.840000,262.750000,292.280000,169.260000
178.040000,586.030000,217.710000,490.120000,248.940000,409.020000,259.580000,337.020000,263.880000,262.770000,292.330000,169.250000
178.000000,586.080000,217.580000,490.180000,248.900000,409.110000,259.580000,337.120000,263.920000,262.910000,292.380000,169.350000
177.860000,586.220000,217.390000,490.330000,248.860000,409.200000,259.660000,337.190000,263.920000,262.920000,292.650000,169.560000
177.840000,586.230000,217.390000,490.340000,248.860000,409.190000,259.650000,337.180000,263.920000,262.920000,292.710000,169.600000
177.710000,586.250000,217.350000,490.370000,248.850000,409.210000,259.660000,337.190000,263.920000,262.910000,292.710000,169.600000
177.580000,586.300000,217.300000,490.470000,248.820000,409.230000,259.660000,337.190000,263.920000,262.910000,292.720000,169.600000
177.440000,586.320000,217.240000,490.560000,248.760000,409.270000,259.660000,337.190000,263.920000,262.910000,292.730000,169.550000
177.390000,586.380000,217.190000,490.650000,248.700000,409.310000,259.660000,337.200000,263.920000,262.920000,292.730000,169.570000
177.370000,586.380000,217.180000,490.670000,248.700000,409.370000,259.660000,337.210000,263.920000,262.920000,292.740000,169.570000
177.330000,586.390000,217.170000,490.680000,248.720000,409.370000,259.650000,337.210000,263.930000,262.930000,292.740000,169.570000
