pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y
342.412790,234.893380,338.514846,318.699164,316.127185,386.913175,293.688496,466.821016,243.015231,552.575772,194.688882,632.483613
342.010000,235.010000,339.010000,319.010000,316.000000,387.020000,293.970000,467.030000,242.920000,553.030000,194.930000,631.990000
342.030000,235.010000,339.040000,319.020000,316.010000,387.030000,293.950000,467.050000,242.860000,553.050000,194.780000,632.010000
342.050000,235.000000,339.070000,319.010000,316.020000,387.040000,293.940000,467.080000,242.790000,553.090000,194.710000,632.010000
342.080000,235.010000,339.100000,319.010000,316.040000,387.060000,293.930000,467.110000,242.680000,553.130000,194.650000,632.080000
342.080000,235.000000,339.100000,319.010000,316.040000,387.070000,293.920000,467.120000,242.670000,553.140000,194.380000,632.060000
342.090000,235.000000,339.110000,319.010000,316.040000,387.070000,293.930000,467.160000,242.500000,553.190000,194.140000,632.080000
342.090000,235.000000,339.110000,319.010000,316.040000,387.070000,293.930000,467.160000,242.140000,553.300000,194.010000,632.070000
342.100000,235.010000,339.160000,319.040000,316.040000,387.080000,293.750000,467.250000,242.110000,553.290000,194.010000,632.090000
342.130000,235.010000,339.200000,319.000000,316.050000,387.130000,293.740000,467.250000,242.070000,553.350000,193.910000,632.130000
342.130000,235.010000,339.250000,319.000000,316.060000,387.160000,293.720000,467.270000,242.000000,553.490000,193.920000,632.150000
342.150000,235.010000,339.270000,319.010000,316.070000,387.210000,293.710000,467.450000,241.910000,553.650000,193.730000,632.360000
342.290000,235.000000,339.390000,319.030000,316.100000,387.300000,293.680000,467.650000,241.740000,553.720000,193.700000,632.620000
342.290000,235.000000,339.390000,319.030000,316.110000,387.310000,293.660000,467.660000,241.700000,553.730000,193.550000,632.630000
342.300000,235.000000,339.400000,319.030000,316.100000,387.340000,293.630000,467.750000,241.550000,553.810000,193.190000,632.640000
342.300000,235.000000,339.410000,319.030000,316.100000,387.390000,293.550000,467.790000,241.160000,553.850000,193.170000,632.750000
342.330000,234.990000,339.480000,319.040000,316.100000,387.470000,293.210000,467.750000,241.110000,553.890000,193.110000,632.830000
342.350000,235.000000,339.760000,319.140000,316.110000,387.580000,293.140000,467.780000,241.050000,553.960000,193.080000,632.850000
342.360000,235.010000,339.770000,319.140000,316.120000,387.610000,293.130000,467.800000,241.020000,553.970000,193.010000,632.860000
342.400000,235.010000,339.800000,319.160000,316.140000,387.700000,293.100000,467.900000,240.890000,554.040000,192.860000,632.870000
342.430000,235.020000,339.830000,319.170000,316.130000,387.750000,293.060000,467.930000,240.820000,554.090000,192.830000,632.870000
342.450000,235.020000,339.890000,319.140000,316.130000,387.760000,293.020000,467.950000,240.790000,554.090000,192.820000,632.890000
342.470000,235.020000,339.920000,319.130000,316.120000,387.810000,292.930000,467.990000,240.660000,554.090000,192.800000,632.900000
342.520000,235.030000,339.950000,319.140000,316.120000,387.850000,292.930000,468.020000,240.500000,554.150000,192.640000,632.920000
342.730000,235.060000,340.000000,319.160000,316.120000,387.960000,292.880000,468.120000,240.120000,554.230000,192.590000,632.930000
342.730000,235.070000,340.010000,319.170000,316.120000,387.960000,292.870000,468.120000,240.110000,554.240000,192.460000,632.890000
342.750000,235.070000,340.010000,319.160000,316.120000,387.960000,292.820000,468.150000,240.020000,554.320000,192.170000,632.940000
342.760000,235.060000,340.020000,319.160000,316.120000,387.980000,292.750000,468.220000,239.920000,554.340000,192.070000,633.000000
342.770000,235.070000,340.040000,319.150000,316.100000,388.030000,292.680000,468.230000,239.860000,554.320000,192.030000,632.970000
342.790000,235.080000,340.040000,319.150000,316.100000,388.050000,292.680000,468.260000,239.760000,554.390000,192.020000,632.970000
342.790000,235.080000,340.040000,319.150000,316.060000,388.240000,292.480000,468.400000,239.640000,554.530000,191.880000,633.230000
342.800000,235.070000,340.050000,319.170000,316.080000,388.320000,292.210000,468.500000,239.500000,554.690000,191.830000,633.240000
342.840000,235.090000,340.070000,319.170000,316.080000,388.440000,292.220000,468.650000,239.220000,554.790000,191.840000,633.240000
342.870000,235.090000,340.110000,319.180000,316.080000,388.590000,292.190000,468.730000,239.110000,554.880000,191.720000,633.290000
342.890000,235.100000,340.120000,319.170000,316.090000,388.610000,292.090000,468.820000,239.000000,554.990000,191.600000,633.270000
342.910000,235.130000,340.210000,319.370000,316.040000,388.830000,292.010000,468.960000,238.920000,555.040000,191.100000,633.340000
343.010000,235.210000,340.180000,319.480000,316.010000,388.840000,291.950000,469.070000,238.790000,555.110000,191.070000,633.640000
343.010000,235.210000,340.180000,319.470000,316.020000,388.850000,291.930000,469.080000,238.760000,555.130000,190.990000,633.820000
343.020000,235.210000,340.170000,319.430000,316.030000,388.860000,291.930000,469.090000,238.690000,555.210000,190.900000,633.850000
343.040000,235.200000,340.170000,319.430000,316.030000,388.860000,291.890000,469.130000,238.580000,555.280000,190.760000,633.830000
343.040000,235.200000,340.170000,319.430000,316.020000,388.860000,291.850000,469.180000,238.240000,555.370000,190.700000,633.850000
343.040000,235.210000,340.210000,319.530000,316.010000,388.900000,291.650000,469.260000,238.130000,555.400000,190.600000,633.880000
343.050000,235.220000,340.250000,319.660000,315.990000,388.940000,291.290000,469.200000,238.130000,555.420000,190.510000,633.860000
343.060000,235.230000,340.220000,319.640000,315.990000,388.950000,291.310000,469.190000,238.120000,555.410000,190.160000,633.850000
343.060000,235.230000,340.210000,319.620000,315.980000,388.960000,291.310000,469.200000,238.090000,555.450000,190.160000,633.850000
343.090000,235.230000,340.200000,319.560000,315.990000,388.970000,291.340000,469.220000,238.100000,555.470000,190.090000,633.840000
343.100000,235.200000,340.210000,319.570000,315.980000,388.960000,291.340000,469.210000,238.100000,555.480000,190.070000,633.880000
343.110000,235.190000,340.230000,319.570000,315.990000,388.980000,291.390000,469.230000,238.100000,555.490000,190.090000,633.890000
343.110000,235.170000,340.190000,319.530000,316.000000,388.930000,291.410000,469.240000,238.110000,555.600000,190.050000,633.980000
343.110000,235.170000,340.170000,319.490000,315.990000,388.940000,291.410000,469.240000,238.100000,555.610000,190.070000,633.960000
343.110000,235.170000,340.170000,319.490000,316.000000,388.940000,291.410000,469.240000,238.110000,555.610000,190.030000,633.980000
343.100000,235.160000,340.180000,319.490000,315.990000,388.930000,291.410000,469.250000,238.100000,555.590000,190.040000,633.960000
343.080000,235.160000,340.170000,319.490000,315.990000,388.930000,291.460000,469.270000,238.130000,555.570000,190.040000,633.960000
342.910000,235.320000,339.950000,319.680000,315.910000,388.950000,291.460000,469.260000,238.210000,555.470000,190.060000,633.930000
342.890000,235.360000,339.950000,319.810000,315.840000,388.950000,291.480000,469.230000,238.290000,555.340000,190.250000,633.900000
342.830000,235.390000,339.900000,319.810000,315.810000,388.900000,291.650000,469.130000,238.570000,555.250000,190.330000,633.870000
342.790000,235.390000,339.840000,319.800000,315.820000,388.870000,291.950000,469.110000,238.970000,555.170000,190.680000,633.730000
342.730000,235.370000,339.830000,319.810000,315.830000,388.770000,292.120000,468.960000,239.150000,555.010000,191.160000,633.710000
342.710000,235.350000,339.820000,319.800000,315.800000,388.370000,292.210000,468.880000,239.370000,554.910000,191.580000,633.670000
342.550000,235.260000,339.770000,319.730000,315.830000,388.340000,292.390000,468.730000,239.930000,554.880000,191.930000,633.660000
342.250000,235.150000,339.560000,319.650000,315.800000,388.240000,292.810000,468.750000,240.100000,554.730000,192.230000,633.540000
342.250000,235.150000,339.190000,319.450000,315.810000,388.220000,292.950000,468.710000,240.460000,554.690000,192.830000,633.180000
342.220000,235.140000,339.160000,319.430000,315.780000,388.140000,292.960000,468.420000,240.940000,554.580000,192.970000,633.160000
342.140000,235.140000,339.120000,319.470000,315.780000,388.090000,292.960000,468.230000,241.170000,554.460000,193.140000,633.260000
342.110000,235.160000,339.040000,319.460000,315.770000,388.040000,293.120000,468.160000,241.360000,554.340000,193.430000,633.230000
342.070000,235.140000,339.000000,319.430000,315.750000,387.990000,293.120000,468.070000,241.940000,554.330000,194.060000,633.210000
342.050000,235.140000,338.980000,319.440000,315.730000,387.950000,293.190000,468.020000,242.100000,554.210000,194.530000,633.270000
342.020000,235.130000,338.980000,319.450000,315.720000,387.920000,293.290000,467.970000,242.230000,554.160000,194.810000,633.260000
341.950000,235.160000,338.960000,319.460000,315.720000,387.880000,293.310000,467.920000,242.470000,554.120000,194.940000,633.290000
341.920000,235.160000,338.910000,319.470000,315.710000,387.860000,293.380000,467.860000,242.870000,554.080000,195.200000,633.260000
341.900000,235.170000,338.860000,319.400000,315.690000,387.820000,293.490000,467.860000,243.030000,554.030000,195.230000,633.270000
341.860000,235.160000,338.850000,319.410000,315.690000,387.730000,293.770000,467.910000,243.100000,553.980000,195.410000,633.220000
341.810000,235.110000,338.730000,319.370000,315.640000,387.600000,293.800000,467.760000,243.250000,553.950000,195.900000,633.340000
341.810000,235.120000,338.720000,319.360000,315.630000,387.560000,293.820000,467.750000,243.330000,553.900000,196.030000,633.220000
341.820000,235.110000,338.720000,319.360000,315.610000,387.580000,293.820000,467.730000,243.570000,553.900000,196.100000,633.250000
341.800000,235.090000,338.720000,319.360000,315.600000,387.560000,293.840000,467.630000,243.840000,553.860000,196.220000,633.330000
341.790000,235.100000,338.710000,319.340000,315.600000,387.530000,293.860000,467.580000,243.870000,553.860000,196.230000,633.330000
341.780000,235.090000,338.710000,319.340000,315.600000,387.470000,293.880000,467.560000,243.940000,553.840000,196.310000,633.350000
341.780000,235.090000,338.700000,319.340000,315.560000,387.390000,293.890000,467.530000,244.020000,553.810000,196.460000,633.300000
341.780000,235.080000,338.690000,319.320000,315.580000,387.370000,293.960000,467.530000,244.050000,553.810000,196.860000,633.310000
341.780000,235.070000,338.660000,319.280000,315.590000,387.350000,294.000000,467.440000,244.080000,553.800000,196.870000,633.320000
341.770000,235.050000,338.670000,319.260000,315.640000,387.280000,294.000000,467.300000,244.110000,553.770000,196.870000,633.310000
341.790000,235.040000,338.680000,319.240000,315.690000,387.270000,294.010000,467.290000,244.130000,553.750000,196.870000,633.320000
341.790000,235.010000,338.720000,319.210000,315.700000,387.250000,294.040000,467.280000,244.150000,553.750000,196.860000,633.330000
341.800000,234.950000,338.800000,319.120000,315.830000,387.180000,294.070000,467.210000,244.140000,553.730000,196.730000,633.230000
341.800000,234.950000,338.810000,319.120000,315.830000,387.180000,294.070000,467.220000,244.130000,553.730000,196.650000,633.190000
341.800000,234.940000,338.820000,319.100000,315.850000,387.190000,294.070000,467.220000,244.090000,553.720000,196.450000,633.230000
341.810000,234.940000,338.820000,319.090000,315.850000,387.190000,294.070000,467.220000,244.020000,553.750000,196.060000,633.210000
341.820000,234.940000,338.830000,319.090000,315.850000,387.180000,294.070000,467.280000,243.940000,553.800000,196.040000,633.190000
341.830000,234.940000,338.830000,319.090000,315.860000,387.180000,294.060000,467.280000,243.800000,553.800000,195.920000,633.190000
341.850000,234.930000,338.870000,319.070000,315.860000,387.180000,294.040000,467.270000,243.740000,553.860000,195.820000,633.230000
341.860000,234.920000,338.900000,319.060000,315.870000,387.180000,293.960000,467.300000,243.620000,553.870000,195.740000,633.230000
341.880000,234.910000,338.920000,319.050000,315.890000,387.180000,293.940000,467.330000,243.400000,553.940000,195.550000,633.190000
341.920000,234.890000,338.970000,319.040000,315.890000,387.180000,293.930000,467.350000,243.140000,553.960000,195.100000,633.220000
341.950000,234.880000,338.980000,319.030000,315.900000,387.190000,293.840000,467.460000,243.050000,553.990000,194.970000,633.270000
341.970000,234.880000,339.000000,319.030000,315.940000,387.240000,293.890000,467.660000,242.870000,554.020000,194.850000,633.260000
342.060000,234.900000,339.080000,319.080000,315.960000,387.380000,293.850000,467.810000,242.790000,554.110000,194.740000,633.380000
342.050000,234.890000,339.090000,319.090000,315.950000,387.380000,293.850000,467.810000,242.750000,554.110000,194.550000,633.420000
342.060000,234.890000,339.100000,319.090000,315.960000,387.380000,293.730000,467.860000,242.580000,554.200000,194.100000,633.400000
342.080000,234.890000,339.140000,319.090000,315.980000,387.400000,293.700000,467.890000,242.200000,554.220000,194.100000,633.410000
342.100000,234.900000,339.170000,319.090000,315.990000,387.460000,293.600000,467.950000,242.150000,554.200000,194.070000,633.370000
342.120000,234.900000,339.210000,319.100000,316.000000,387.560000,293.560000,468.010000,242.090000,554.240000,194.060000,633.370000
342.150000,234.900000,339.230000,319.110000,316.010000,387.610000,293.540000,468.020000,242.000000,554.320000,193.960000,633.410000
342.190000,234.890000,339.290000,319.100000,316.030000,387.710000,293.490000,468.030000,241.910000,554.330000,193.790000,633.450000
342.230000,234.890000,339.350000,319.090000,316.030000,387.750000,293.140000,467.980000,241.770000,554.370000,193.800000,633.480000
342.290000,234.870000,339.440000,319.080000,316.050000,387.800000,293.090000,468.040000,241.730000,554.400000,193.760000,633.720000
342.330000,234.880000,339.830000,319.150000,316.050000,387.820000,293.070000,468.070000,241.580000,554.460000,193.700000,633.700000
342.380000,234.880000,339.850000,319.160000,316.080000,387.840000,293.030000,468.190000,241.260000,554.570000,193.490000,633.750000
342.530000,234.880000,339.900000,319.170000,316.100000,387.960000,292.990000,468.300000,241.090000,554.670000,193.120000,633.730000
342.630000,234.910000,339.900000,319.170000,316.110000,387.960000,292.930000,468.320000,241.080000,554.680000,193.110000,633.730000
342.650000,234.910000,339.900000,319.170000,316.110000,387.960000,292.910000,468.420000,240.870000,554.730000,192.950000,633.690000
342.670000,234.880000,339.920000,319.170000,316.110000,387.990000,292.920000,468.680000,240.810000,554.720000,192.860000,633.740000
342.650000,234.910000,339.930000,319.180000,316.100000,388.060000,292.860000,468.670000,240.780000,554.730000,192.840000,633.750000
342.700000,234.920000,339.950000,319.180000,316.110000,388.140000,292.820000,468.700000,240.670000,554.800000,192.840000,633.760000
342.750000,234.930000,340.000000,319.130000,316.100000,388.180000,292.790000,468.880000,240.590000,554.820000,192.820000,633.800000
342.750000,234.940000,339.970000,319.170000,316.040000,388.350000,292.560000,468.890000,240.300000,554.840000,192.690000,633.850000
342.780000,234.960000,339.980000,319.210000,316.040000,388.410000,292.180000,468.810000,240.060000,554.920000,192.670000,633.850000
342.800000,234.960000,340.040000,319.280000,316.020000,388.450000,292.160000,468.840000,239.980000,554.910000,192.510000,633.800000
342.820000,234.970000,340.030000,319.220000,316.020000,388.460000,292.110000,468.960000,239.920000,554.960000,192.160000,633.790000
342.870000,234.970000,340.120000,319.200000,316.060000,388.580000,292.090000,469.010000,239.850000,554.980000,192.160000,633.810000
342.990000,234.970000,340.270000,319.230000,316.100000,388.760000,292.050000,469.110000,239.690000,555.030000,192.050000,633.920000
