pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y
186.495051,583.759319,217.678599,494.106620,235.219345,404.453920,253.668316,334.188882,256.658034,244.638239
185.940000,584.030000,217.980000,494.050000,235.010000,404.000000,253.990000,334.020000,257.020000,245.040000
185.860000,584.060000,217.970000,494.030000,235.040000,404.000000,254.030000,334.040000,257.040000,245.070000
185.640000,584.060000,217.880000,494.090000,235.060000,404.040000,254.040000,334.040000,257.050000,245.090000
185.650000,584.110000,217.850000,494.120000,235.080000,404.040000,254.080000,334.050000,257.060000,245.100000
185.620000,584.110000,217.820000,494.100000,235.080000,404.040000,254.100000,334.050000,257.060000,245.100000
185.260000,584.130000,217.840000,494.110000,235.080000,404.040000,254.090000,334.050000,257.060000,245.100000
185.150000,584.120000,217.720000,494.430000,235.080000,404.040000,254.090000,334.050000,257.060000,245.100000
185.150000,584.140000,217.650000,494.540000,235.080000,404.040000,254.090000,334.050000,257.060000,245.100000
185.040000,584.270000,217.680000,494.650000,235.080000,404.040000,254.100000,334.080000,257.060000,245.100000
185.000000,584.320000,217.630000,494.620000,235.080000,404.050000,254.120000,334.090000,257.110000,245.220000
184.890000,584.420000,217.650000,494.680000,235.080000,404.050000,254.160000,334.110000,257.120000,245.210000
184.860000,584.730000,217.500000,494.850000,235.090000,404.160000,254.260000,334.190000,257.200000,245.220000
184.850000,584.730000,217.210000,494.740000,235.090000,404.160000,254.250000,334.190000,257.210000,245.230000
184.570000,584.830000,217.140000,494.800000,235.090000,404.160000,254.250000,334.210000,257.200000,245.240000
184.350000,584.830000,217.070000,494.910000,235.100000,404.180000,254.250000,334.220000,257.200000,245.230000
184.230000,584.850000,217.030000,494.980000,235.090000,404.190000,254.270000,334.260000,257.210000,245.240000
184.200000,584.930000,217.030000,495.060000,235.090000,404.210000,254.320000,334.290000,257.200000,245.250000
184.190000,584.950000,216.980000,495.060000,235.090000,404.210000,254.310000,334.290000,257.200000,245.250000
184.120000,584.970000,216.950000,495.150000,235.070000,404.320000,254.320000,334.300000,257.210000,245.260000
184.070000,584.990000,216.610000,495.150000,235.070000,404.350000,254.370000,334.400000,257.340000,245.320000
183.990000,584.990000,216.320000,495.080000,235.060000,404.360000,254.370000,334.400000,257.300000,245.320000
183.970000,585.040000,216.290000,495.110000,235.050000,404.390000,254.370000,334.410000,257.300000,245.320000
183.800000,585.070000,216.270000,495.420000,235.040000,404.400000,254.410000,334.470000,257.320000,245.320000
183.720000,585.160000,216.230000,495.350000,235.050000,404.550000,254.450000,334.620000,257.410000,245.420000
183.720000,585.160000,216.220000,495.260000,235.050000,404.530000,254.450000,334.620000,257.410000,245.420000
183.710000,585.160000,216.230000,495.280000,235.050000,404.530000,254.460000,334.660000,257.400000,245.420000
183.250000,585.150000,216.180000,495.320000,235.050000,404.550000,254.470000,334.690000,257.400000,245.420000
183.160000,585.180000,216.110000,495.380000,235.050000,404.560000,254.470000,334.690000,257.640000,245.560000
183.160000,585.200000,215.890000,495.420000,235.040000,404.580000,254.470000,334.690000,257.760000,245.680000
183.170000,585.510000,215.950000,495.910000,235.010000,404.700000,254.460000,334.850000,257.760000,245.680000
183.190000,585.730000,215.910000,496.040000,234.990000,404.770000,254.470000,334.890000,257.760000,245.680000
183.180000,585.730000,215.920000,496.030000,235.000000,404.930000,254.470000,334.970000,257.760000,245.720000
182.940000,585.860000,215.800000,496.000000,234.990000,404.950000,254.470000,334.990000,257.760000,245.720000
182.960000,585.890000,215.770000,496.370000,234.990000,404.970000,254.470000,335.030000,257.880000,245.760000
182.880000,585.950000,215.700000,496.550000,234.930000,405.140000,254.500000,335.100000,257.930000,245.960000
182.730000,586.100000,215.590000,496.590000,234.870000,405.190000,254.710000,335.190000,257.860000,245.910000
182.730000,586.100000,215.290000,496.440000,234.880000,405.190000,254.710000,335.180000,257.870000,245.910000
182.420000,586.110000,215.270000,496.310000,234.870000,405.200000,254.710000,335.180000,257.870000,245.880000
182.170000,586.120000,215.270000,496.820000,234.870000,405.220000,254.710000,335.180000,257.870000,245.870000
182.150000,586.130000,214.990000,496.890000,234.760000,405.250000,254.710000,335.180000,257.870000,245.870000
182.160000,586.170000,214.980000,496.900000,234.730000,405.290000,254.710000,335.190000,257.870000,245.900000
182.140000,586.190000,214.970000,496.890000,234.730000,405.350000,254.710000,335.210000,257.870000,245.910000
182.130000,586.190000,214.990000,496.870000,234.750000,405.340000,254.700000,335.220000,257.920000,245.920000
181.990000,586.240000,214.980000,496.860000,234.740000,405.350000,254.700000,335.240000,257.910000,245.920000
181.960000,586.270000,214.980000,496.860000,234.720000,405.360000,254.700000,335.240000,257.900000,245.920000
181.930000,586.280000,214.980000,496.870000,234.720000,405.370000,254.700000,335.240000,257.900000,245.920000
181.940000,586.300000,214.990000,496.880000,234.720000,405.380000,254.690000,335.240000,257.890000,245.890000
181.950000,586.360000,215.080000,496.900000,234.630000,405.450000,254.660000,335.310000,257.800000,245.810000
181.910000,586.370000,215.080000,496.900000,234.650000,405.460000,254.650000,335.310000,257.800000,245.810000
181.910000,586.370000,215.080000,496.900000,234.640000,405.450000,254.650000,335.310000,257.800000,245.810000
181.920000,586.360000,215.060000,496.890000,234.640000,405.450000,254.610000,335.280000,257.810000,245.810000
181.920000,586.330000,215.050000,496.880000,234.640000,405.450000,254.600000,335.280000,257.780000,245.800000
182.000000,586.240000,215.100000,496.850000,234.630000,405.450000,254.480000,335.310000,257.760000,245.810000
182.290000,586.110000,215.400000,496.770000,234.620000,405.450000,254.310000,335.280000,257.830000,245.910000
182.460000,586.130000,215.550000,496.320000,234.620000,405.450000,254.270000,335.280000,257.780000,245.920000
182.650000,586.060000,215.490000,496.200000,234.590000,405.390000,254.270000,335.280000,257.670000,245.880000
182.870000,586.020000,215.410000,496.180000,234.400000,405.320000,254.140000,335.220000,257.560000,245.850000
182.930000,585.750000,215.420000,495.870000,234.340000,405.180000,254.080000,335.140000,257.360000,245.770000
183.240000,585.640000,215.900000,495.880000,234.290000,405.030000,254.040000,335.100000,257.320000,245.700000
183.660000,585.660000,216.010000,495.760000,234.310000,405.040000,254.000000,334.980000,257.130000,245.570000
184.040000,585.630000,216.050000,495.510000,234.350000,405.030000,254.000000,334.980000,257.070000,245.460000
184.040000,585.600000,216.350000,495.260000,234.340000,405.010000,254.000000,334.980000,257.070000,245.460000
184.340000,585.500000,216.750000,495.470000,234.330000,404.960000,253.980000,334.940000,257.070000,245.460000
184.790000,585.320000,216.770000,495.200000,234.320000,404.930000,253.940000,334.900000,257.070000,245.460000
184.960000,585.260000,216.930000,495.030000,234.340000,404.910000,253.930000,334.870000,256.960000,245.470000
185.200000,585.220000,217.030000,495.080000,234.370000,404.900000,253.920000,334.850000,256.960000,245.470000
185.280000,585.200000,217.050000,495.040000,234.380000,404.890000,253.910000,334.840000,256.950000,245.460000
185.760000,585.190000,217.150000,495.080000,234.380000,404.860000,253.860000,334.780000,256.930000,245.450000
185.900000,585.190000,217.160000,494.940000,234.380000,404.850000,253.840000,334.750000,256.900000,245.410000
186.070000,585.140000,217.310000,494.810000,234.410000,404.790000,253.810000,334.750000,256.900000,245.410000
186.150000,585.130000,217.300000,494.770000,234.440000,404.760000,253.810000,334.730000,256.880000,245.400000
186.290000,585.030000,217.650000,494.600000,234.430000,404.600000,253.790000,334.570000,256.760000,245.270000
186.310000,585.030000,217.770000,494.330000,234.430000,404.600000,253.770000,334.510000,256.760000,245.270000
186.750000,585.030000,217.840000,494.440000,234.430000,404.600000,253.770000,334.510000,256.760000,245.270000
186.910000,585.050000,217.810000,494.380000,234.430000,404.590000,253.770000,334.510000,256.750000,245.260000
186.920000,585.050000,217.800000,494.370000,234.440000,404.590000,253.760000,334.520000,256.750000,245.240000
186.960000,585.050000,217.820000,494.330000,234.420000,404.540000,253.750000,334.490000,256.720000,245.230000
187.030000,585.050000,217.930000,494.280000,234.420000,404.530000,253.720000,334.410000,256.670000,245.200000
187.080000,585.040000,217.980000,494.340000,234.440000,404.480000,253.690000,334.350000,256.670000,245.170000
187.100000,585.020000,218.010000,494.270000,234.480000,404.410000,253.680000,334.340000,256.650000,245.140000
187.130000,585.010000,218.020000,494.260000,234.600000,404.410000,253.670000,334.320000,256.650000,245.130000
187.140000,585.010000,218.070000,494.240000,234.610000,404.360000,253.680000,334.300000,256.650000,245.120000
187.140000,585.000000,218.090000,494.170000,234.660000,404.350000,253.670000,334.280000,256.650000,245.110000
187.100000,584.940000,218.150000,494.120000,234.680000,404.250000,253.660000,334.210000,256.590000,245.000000
187.100000,584.940000,218.150000,494.150000,234.680000,404.260000,253.660000,334.210000,256.590000,245.000000
186.990000,584.960000,218.140000,494.150000,234.690000,404.250000,253.660000,334.210000,256.590000,245.000000
186.850000,584.980000,218.120000,494.180000,234.690000,404.250000,253.660000,334.210000,256.590000,245.000000
186.810000,584.980000,218.110000,494.170000,234.690000,404.250000,253.660000,334.210000,256.600000,245.010000
186.610000,584.990000,218.050000,494.210000,234.690000,404.250000,253.660000,334.210000,256.600000,245.010000
186.260000,584.970000,218.070000,494.230000,234.690000,404.250000,253.660000,334.210000,256.600000,245.010000
186.200000,584.980000,217.890000,494.280000,234.690000,404.250000,253.660000,334.210000,256.600000,245.010000
186.070000,585.040000,217.970000,494.360000,234.700000,404.260000,253.660000,334.210000,256.600000,245.010000
185.860000,585.080000,217.900000,494.370000,234.700000,404.280000,253.660000,334.220000,256.620000,245.010000
185.860000,585.090000,217.900000,494.550000,234.720000,404.300000,253.660000,334.220000,256.620000,245.010000
185.820000,585.120000,217.900000,494.860000,234.710000,404.340000,253.700000,334.230000,256.620000,245.010000
185.570000,585.200000,217.730000,494.920000,234.820000,404.560000,253.830000,334.330000,256.780000,245.120000
185.350000,585.170000,217.730000,494.920000,234.820000,404.580000,253.830000,334.330000,256.780000,245.120000
185.050000,585.190000,217.670000,494.940000,234.820000,404.580000,253.830000,334.330000,256.770000,245.120000
185.050000,585.190000,217.710000,494.980000,234.820000,404.580000,253.830000,334.330000,256.780000,245.120000
185.050000,585.200000,217.630000,495.060000,234.830000,404.600000,253.850000,334.330000,256.770000,245.120000
184.990000,585.200000,217.310000,495.040000,234.830000,404.620000,253.850000,334.330000,256.800000,245.150000
184.770000,585.260000,217.160000,495.060000,234.830000,404.630000,253.850000,334.330000,256.890000,245.210000
184.780000,585.310000,217.170000,495.000000,234.830000,404.640000,253.920000,334.400000,256.900000,245.210000
184.740000,585.390000,217.130000,495.060000,234.820000,404.670000,253.940000,334.440000,256.910000,245.220000
184.730000,585.420000,217.060000,495.090000,234.830000,404.700000,253.950000,334.450000,256.930000,245.230000
184.610000,585.470000,217.010000,495.370000,234.840000,404.740000,253.980000,334.490000,256.940000,245.240000
184.280000,585.730000,217.020000,495.480000,234.840000,404.740000,254.050000,334.630000,256.940000,245.230000
184.200000,585.760000,216.900000,495.440000,234.850000,404.890000,254.120000,334.720000,257.080000,245.320000
184.210000,585.760000,216.870000,495.310000,234.850000,404.880000,254.120000,334.720000,257.080000,245.320000
184.000000,585.820000,216.720000,495.360000,234.850000,404.890000,254.120000,334.730000,257.080000,245.320000
183.990000,585.830000,216.760000,495.490000,234.840000,404.880000,254.160000,334.790000,257.080000,245.320000
184.000000,585.860000,216.780000,495.560000,234.830000,404.910000,254.160000,334.810000,257.080000,245.320000
183.940000,585.870000,216.340000,495.520000,234.840000,404.910000,254.210000,334.850000,257.090000,245.340000
183.890000,585.950000,216.150000,495.920000,234.820000,404.960000,254.230000,334.880000,257.100000,245.350000
183.870000,585.970000,216.160000,495.950000,234.790000,405.210000,254.280000,335.140000,257.400000,245.520000
183.860000,586.000000,216.150000,495.940000,234.800000,405.210000,254.330000,335.140000,257.610000,245.720000
183.850000,586.020000,216.160000,495.960000,234.800000,405.220000,254.330000,335.130000,257.610000,245.720000
183.570000,586.050000,215.870000,495.990000,234.800000,405.220000,254.340000,335.130000,257.610000,245.720000
183.310000,586.030000,215.890000,495.980000,234.800000,405.220000,254.350000,335.130000,257.610000,245.720000
183.260000,586.060000,215.840000,496.230000,234.720000,405.260000,254.450000,335.120000,257.610000,245.750000
183.260000,586.060000,215.830000,496.230000,234.730000,405.260000,254.580000,335.140000,257.600000,245.740000
183.120000,586.090000,215.840000,496.220000,234.730000,405.260000,254.580000,335.140000,257.600000,245.740000
