pt1_cam1_X,pt1_cam1_Y
200.775828,201.641849
201.240000,201.940000
200.890000,201.300000
200.770000,200.710000
200.220000,199.800000
199.760000,197.590000
199.580000,196.850000
199.120000,196.300000
198.480000,195.370000
198.300000,194.340000
198.280000,192.460000
198.650000,191.760000
199.420000,190.740000
202.940000,190.300000
205.210000,190.110000
204.770000,189.610000
205.090000,189.010000
206.210000,188.520000
206.410000,188.120000
206.210000,187.780000
206.600000,187.190000
206.800000,186.840000
206.950000,186.210000
206.950000,185.400000
206.670000,184.970000
206.160000,184.750000
206.200000,184.580000
206.090000,184.050000
206.040000,183.300000
205.950000,183.120000
207.330000,183.130000
208.580000,183.120000
208.520000,183.080000
208.830000,183.120000
208.940000,183.050000
209.210000,182.850000
209.600000,182.750000
210.020000,181.980000
210.180000,182.410000
210.110000,182.950000
209.940000,182.860000
209.980000,182.540000
210.820000,181.840000
211.780000,181.420000
212.190000,180.990000
212.040000,180.970000
211.970000,180.970000
212.050000,180.790000
212.300000,180.440000
212.240000,179.740000
211.470000,178.800000
209.170000,175.890000
204.690000,172.970000
200.990000,171.280000
198.450000,169.750000
197.450000,167.930000
196.970000,165.580000
196.550000,164.700000
197.210000,164.500000
197.520000,164.050000
196.730000,163.990000
195.930000,163.720000
194.530000,163.490000
192.930000,163.250000
191.350000,163.160000
190.560000,163.050000
190.110000,163.080000
189.760000,163.100000
189.080000,163.170000
188.230000,163.310000
187.390000,163.350000
186.890000,162.860000
185.530000,162.520000
184.160000,162.730000
183.280000,162.460000
182.680000,161.120000
182.380000,159.130000
182.070000,157.460000
182.000000,157.570000
182.320000,156.970000
182.510000,156.450000
182.530000,156.600000
182.740000,156.950000
183.110000,156.950000
182.930000,156.980000
182.570000,156.960000
182.190000,157.000000
181.960000,157.040000
181.810000,157.260000
181.550000,157.540000
180.860000,157.890000
180.020000,159.410000
179.270000,160.340000
179.470000,160.550000
181.380000,158.950000
180.610000,159.170000
178.160000,161.310000
178.270000,161.680000
183.230000,159.680000
194.600000,159.280000
199.970000,160.370000
200.000000,162.270000
199.450000,163.040000
198.840000,162.470000
197.730000,161.930000
196.520000,162.020000
193.630000,162.950000
190.540000,164.400000
187.360000,166.070000
184.680000,167.800000
183.470000,169.750000
182.600000,171.460000
181.930000,172.850000
180.990000,174.000000
180.160000,175.220000
179.970000,176.270000
180.080000,177.330000
179.890000,178.310000
179.560000,179.060000
179.000000,179.830000
178.670000,180.200000
178.370000,180.560000
178.230000,180.650000
178.080000,180.980000
177.970000,181.180000
177.750000,181.320000
177.580000,181.610000
177.240000,182.380000
177.470000,183.110000
178.340000,183.970000
179.110000,184.820000
179.790000,185.710000
180.750000,186.490000
181.690000,186.950000
182.630000,187.470000
183.800000,188.290000
185.140000,189.410000
186.260000,190.450000
187.710000,191.420000
189.220000,192.450000
190.550000,193.410000
191.660000,194.320000
192.660000,195.070000
193.780000,195.730000
194.900000,196.210000
196.020000,197.020000
197.100000,198.010000
198.510000,200.310000
199.630000,201.630000
202.000000,202.110000
202.440000,202.020000
202.970000,201.650000
204.580000,201.120000
204.950000,200.890000
204.490000,200.570000
204.040000,200.220000
203.980000,200.070000
203.440000,199.740000
204.030000,199.200000
200.870000,198.620000
196.110000,197.060000
192.050000,195.360000
189.410000,194.210000
