pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y
313.178214,80.924614,311.229242,164.730398,299.535412,252.434126,289.790553,347.933740,262.504949,437.586440,231.321401,529.188111,204.035797,612.993895
313.150000,80.970000,311.330000,164.960000,300.530000,251.980000,291.050000,348.010000,264.460000,438.310000,231.610000,529.210000,204.170000,613.070000
313.270000,80.970000,311.720000,164.990000,301.180000,252.040000,292.180000,348.070000,265.850000,438.780000,232.530000,529.690000,204.210000,613.220000
313.380000,80.950000,312.030000,165.030000,301.830000,252.100000,293.180000,348.160000,267.090000,439.250000,233.390000,530.470000,204.110000,613.380000
313.520000,80.990000,312.270000,165.020000,302.120000,252.110000,294.000000,348.340000,268.050000,439.870000,234.220000,531.370000,203.980000,614.130000
313.790000,81.060000,312.580000,165.090000,302.700000,252.190000,294.780000,348.430000,269.050000,440.130000,235.100000,532.280000,203.870000,614.350000
313.900000,81.110000,312.830000,165.080000,302.850000,252.200000,295.710000,349.060000,270.710000,441.060000,235.990000,533.230000,203.760000,615.250000
313.910000,81.110000,312.920000,165.060000,303.030000,252.200000,296.300000,349.110000,271.880000,442.020000,236.840000,534.110000,203.750000,616.040000
313.940000,81.080000,312.960000,165.070000,303.140000,252.190000,296.600000,349.630000,272.700000,442.640000,237.710000,535.050000,203.420000,616.800000
314.030000,81.140000,313.010000,165.070000,303.310000,252.200000,296.800000,349.780000,273.070000,442.930000,238.590000,535.900000,203.040000,617.550000
314.070000,81.140000,313.090000,165.070000,303.410000,252.200000,297.040000,349.770000,273.380000,443.090000,238.660000,536.630000,203.040000,617.760000
314.080000,81.140000,313.140000,165.080000,303.760000,252.330000,297.130000,349.820000,273.770000,443.110000,238.720000,536.790000,203.010000,617.940000
314.080000,81.040000,313.290000,165.130000,303.960000,252.360000,297.540000,349.950000,273.910000,443.060000,238.790000,536.840000,202.990000,618.090000
314.090000,81.040000,313.280000,165.120000,303.960000,252.340000,297.880000,349.910000,273.940000,443.060000,238.830000,536.960000,202.980000,618.230000
314.090000,81.050000,313.310000,165.130000,303.960000,252.350000,297.990000,350.010000,273.900000,442.960000,238.800000,537.000000,203.010000,618.320000
314.080000,81.060000,313.310000,165.140000,303.970000,252.360000,297.980000,350.000000,274.020000,443.050000,238.830000,537.080000,203.010000,618.350000
314.090000,81.060000,313.380000,165.180000,303.960000,252.360000,298.010000,349.990000,274.030000,443.060000,238.840000,537.090000,203.000000,618.370000
314.080000,81.060000,313.380000,165.160000,304.050000,252.380000,297.990000,350.020000,274.100000,443.150000,238.880000,537.150000,203.080000,618.540000
314.090000,81.070000,313.390000,165.160000,304.130000,252.420000,297.970000,350.050000,274.200000,443.150000,238.870000,537.150000,203.000000,619.130000
314.120000,81.080000,313.420000,165.170000,304.100000,252.360000,298.020000,350.050000,274.170000,443.130000,238.900000,537.190000,202.960000,619.670000
314.110000,81.060000,313.420000,165.170000,304.090000,252.360000,297.990000,350.110000,274.280000,443.110000,238.940000,537.210000,202.970000,619.720000
314.090000,81.070000,313.450000,165.180000,304.110000,252.340000,297.970000,350.080000,274.370000,443.000000,238.940000,537.300000,203.040000,619.800000
314.100000,81.070000,313.470000,165.190000,304.110000,252.320000,298.030000,350.110000,274.420000,443.030000,238.940000,537.310000,203.050000,619.860000
314.110000,81.070000,313.490000,165.190000,304.130000,252.330000,298.020000,350.090000,274.590000,443.040000,238.960000,537.290000,203.160000,619.890000
314.160000,81.080000,313.770000,165.270000,304.240000,252.370000,298.230000,350.180000,275.100000,443.430000,238.980000,537.300000,203.240000,619.930000
314.160000,81.080000,313.770000,165.260000,304.230000,252.370000,298.400000,350.140000,275.840000,444.160000,238.990000,537.310000,203.230000,619.930000
314.190000,81.090000,313.770000,165.260000,304.230000,252.360000,298.680000,350.150000,276.500000,444.770000,238.990000,537.350000,203.290000,619.940000
314.180000,81.050000,313.770000,165.270000,304.250000,252.350000,298.670000,350.180000,276.690000,444.810000,239.000000,537.400000,203.390000,620.000000
314.160000,81.060000,313.780000,165.270000,304.270000,252.370000,298.690000,350.220000,276.710000,444.760000,239.010000,537.390000,203.440000,619.990000
314.180000,81.080000,313.800000,165.270000,304.290000,252.350000,298.580000,350.180000,276.700000,444.820000,239.020000,537.410000,203.450000,619.990000
314.180000,81.080000,313.810000,165.280000,304.330000,252.380000,298.190000,350.150000,276.710000,444.810000,239.020000,537.440000,203.470000,620.010000
314.190000,81.080000,313.820000,165.290000,304.340000,252.380000,298.250000,350.140000,276.700000,444.820000,239.030000,537.400000,203.470000,620.040000
314.190000,81.080000,313.820000,165.280000,304.340000,252.380000,298.500000,350.190000,276.700000,444.820000,239.030000,537.410000,203.520000,620.060000
314.200000,81.070000,313.830000,165.280000,304.330000,252.380000,298.860000,350.270000,276.700000,444.810000,239.040000,537.420000,203.830000,620.080000
314.190000,81.060000,313.860000,165.290000,304.360000,252.410000,298.870000,350.260000,276.650000,444.780000,239.030000,537.430000,203.820000,620.100000
314.190000,81.070000,313.860000,165.290000,304.390000,252.430000,298.930000,350.330000,276.640000,444.780000,239.020000,537.450000,203.820000,620.100000
314.240000,81.100000,313.910000,165.320000,304.450000,252.340000,298.870000,350.250000,276.630000,444.880000,239.040000,537.480000,203.840000,620.130000
314.230000,81.070000,313.910000,165.320000,304.780000,252.540000,298.840000,350.290000,276.640000,444.870000,239.040000,538.200000,203.840000,620.140000
314.250000,81.080000,313.900000,165.330000,305.030000,253.010000,298.880000,350.250000,276.620000,444.870000,239.010000,539.020000,203.840000,620.140000
314.260000,81.100000,313.890000,165.330000,305.030000,253.010000,298.920000,350.280000,276.680000,444.880000,238.980000,539.810000,203.840000,620.130000
