pt1_cam1_X,pt1_cam1_Y
346.853791,181.366426
347.050000,181.050000
347.070000,181.050000
347.130000,181.120000
347.220000,181.090000
347.230000,181.060000
347.220000,181.110000
347.230000,181.190000
347.220000,181.210000
347.240000,181.220000
347.280000,181.220000
347.250000,181.260000
347.310000,181.350000
347.320000,181.490000
347.300000,181.830000
347.560000,181.920000
348.010000,181.920000
348.060000,181.930000
348.080000,181.990000
348.120000,182.040000
348.090000,182.070000
348.120000,182.060000
348.230000,182.080000
348.230000,182.070000
348.280000,181.990000
348.280000,181.900000
348.280000,181.910000
348.330000,181.700000
348.310000,181.120000
348.350000,180.900000
348.130000,180.620000
348.020000,180.020000
348.040000,179.770000
347.790000,179.200000
347.600000,179.030000
347.180000,179.090000
347.140000,178.980000
347.110000,178.900000
347.090000,178.840000
347.070000,178.810000
347.010000,178.700000
347.020000,178.710000
346.870000,178.660000
346.810000,178.630000
346.810000,178.630000
346.730000,178.630000
346.670000,178.570000
346.660000,178.560000
346.440000,178.580000
346.020000,178.720000
345.950000,178.700000
345.970000,178.660000
346.010000,178.720000
346.000000,178.720000
346.080000,178.640000
346.110000,178.610000
346.100000,178.600000
346.010000,178.530000
346.010000,178.230000
346.060000,178.190000
345.990000,178.150000
346.000000,178.140000
346.000000,178.120000
346.020000,178.120000
346.050000,178.210000
346.070000,178.200000
346.000000,178.130000
346.010000,178.180000
346.010000,178.180000
346.000000,178.230000
345.940000,178.220000
345.960000,178.230000
345.890000,178.290000
345.760000,178.270000
345.770000,178.270000
345.380000,178.760000
344.670000,179.880000
344.190000,180.390000
343.770000,181.430000
343.100000,182.590000
342.680000,183.210000
342.380000,184.070000
342.380000,184.990000
342.390000,185.290000
342.740000,185.530000
343.440000,185.540000
343.860000,185.550000
344.100000,185.050000
344.100000,184.170000
344.130000,183.590000
343.920000,182.380000
343.010000,180.280000
342.500000,179.830000
341.980000,178.470000
341.270000,176.700000
341.340000,176.160000
340.690000,174.970000
338.880000,174.070000
338.210000,174.050000
337.300000,174.000000
336.340000,173.970000
336.100000,173.980000
336.240000,173.870000
335.720000,173.920000
335.280000,173.970000
334.180000,174.240000
332.760000,174.970000
331.760000,175.660000
330.700000,176.590000
